省份编码,省份,年份,公路营运汽车拥有量(万辆),公路营运载客汽车拥有量(万辆),公路营运汽车客位数(万客位),公路营运载货汽车拥有量(万辆),公路营运普通载货汽车拥有量(万辆),公路营运载货汽车吨位数(吨),公路营运普通载货汽车吨位数(吨位)
420000,湖北省,2008,30.8078,6.9311,91.9865,23.8767,23.0157,873803,787684
420000,湖北省,2007,28.7441,6.8185,89.0188,21.9256,20.9099,804321,696942
420000,湖北省,2006,27.0396,6.636,85.2685,20.4036,19.7792,803017,694075
420000,湖北省,2005,26.5367,6.4344,83.0048,20.1023,19.2613,723000,655800
420000,湖北省,2004,24.51,6.28,77.89,18.23,17.18,636400,563200
420000,湖北省,2003,23.65,6.1,76.57,17.54,16.68,586100,527000
420000,湖北省,2002,20.94,5.56,69.39,15.38,15.03,519800,491600
420000,湖北省,2001,19.58,3.69,62.99,15.89,15.33,502600,462000
420000,湖北省,2000,17.94,3.69,62.25,14.25,14.04,503300,489700
430000,湖南省,2019,24.1517,3.6836,92.8752,20.4681,11.0261,2762488,1192058
430000,湖南省,2018,34.5341,3.8531,96.4596,30.681,22.8308,2450640,1207261
430000,湖南省,2017,33.2818,4.0351,98.8265,29.2467,22.7294,2157434,1132739
430000,湖南省,2016,41.5251,4.5065,107.862,37.0186,31.6286,2239973,1404657
430000,湖南省,2015,42.635,4.7867,114.3768,37.8483,32.8803,2261210,1514070
430000,湖南省,2014,45.0327,4.8732,114.1323,40.1595,35.4122,2245169,1600642
430000,湖南省,2013,46.5916,4.8266,111.4378,41.765,37.1537,2210333,1578490
430000,湖南省,2012,43.665,4.6862,107.5748,38.9788,36.5707,1767915,1462165
430000,湖南省,2011,40.9892,4.6267,103.9443,36.3625,34.1689,1465045,1198285
430000,湖南省,2010,40.38,4.37,96.92,36.01,34.86,1231000,1132300
430000,湖南省,2009,39.1862,4.3274,94.5415,34.8588,33.6169,1337848,1187369
430000,湖南省,2008,34.3101,4.2761,89.7508,30.034,29.0026,1031613,923634
430000,湖南省,2007,27.9701,4.98,92.2906,22.9901,22.0844,762286,674934
430000,湖南省,2006,25.582,5.2775,92.3898,20.3045,19.4579,664779,585586
430000,湖南省,2005,23.2139,5.85,93.1476,17.3639,16.9819,582400,546000
430000,湖南省,2004,26.71,7.49,100.81,19.22,18.92,594600,570700
430000,湖南省,2003,23.23,7.14,96.87,16.09,15.88,505900,490900
430000,湖南省,2002,22.31,6.85,94.22,15.45,15.28,481500,472100
430000,湖南省,2001,21.06,6.34,93.0,14.72,14.57,513800,504900
430000,湖南省,2000,20.58,5.9,88.25,14.69,14.49,517400,507100
440000,广东省,2019,52.5923,3.804,163.381,48.7883,21.6394,6753869,2314557
440000,广东省,2018,67.225,3.8199,163.6614,63.4051,40.7004,6103724,2515695
440000,广东省,2017,71.7235,3.8913,165.2873,67.8322,45.2443,5792596,2218610
440000,广东省,2016,73.7682,3.9329,163.6987,69.8353,50.8061,5390514,2452094
440000,广东省,2015,76.6061,3.9169,160.4079,72.6892,54.6718,5024136,2285769
440000,广东省,2014,83.9976,4.0536,162.4852,79.944,62.6582,5032588,2514088
440000,广东省,2013,98.4968,4.3092,162.7457,94.1876,77.3391,5063308,2659711
440000,广东省,2012,90.6641,4.3963,161.8126,86.2678,79.512,4320857,2941441
440000,广东省,2011,98.1097,4.2142,153.5899,93.8955,86.8925,4766416,3398396
440000,广东省,2010,90.27,4.22,151.1,86.05,79.43,3373400,2506900
440000,广东省,2009,92.8778,13.4397,290.7828,79.4381,73.6392,2824682,2087127
440000,广东省,2008,86.1524,12.7834,273.12,73.369,68.264,2500605,1837957
440000,广东省,2007,90.8719,12.1289,252.2607,78.743,74.0222,2857217,1904106
440000,广东省,2006,91.0393,11.2804,235.6174,79.7589,74.0831,2781095,1900754
440000,广东省,2005,86.7106,5.9529,144.8552,80.7577,77.82,2362500,1925900
440000,广东省,2004,80.18,5.71,134.16,74.46,71.43,1852900,1568100
440000,广东省,2003,74.16,5.61,124.05,68.55,66.46,1612200,1408400
440000,广东省,2002,77.55,9.72,249.36,67.82,66.58,1504600,1376800
440000,广东省,2001,73.55,9.57,180.95,63.98,62.99,1510600,1398300
440000,广东省,2000,65.08,6.34,116.32,58.74,58.03,1408700,1319700
450000,广西壮族自治区,2019,34.6568,2.5312,81.1446,32.1256,20.8121,3687052,1920199
450000,广西壮族自治区,2018,38.9905,2.559,80.5531,36.4315,27.1206,3133522,1730054
450000,广西壮族自治区,2017,53.1172,2.6582,82.3434,50.459,42.5741,3212214,2178408
450000,广西壮族自治区,2016,52.2115,3.2515,94.0132,48.96,42.2026,3063170,2121369
450000,广西壮族自治区,2015,51.4014,3.432,96.6313,47.9694,42.0638,2891239,2106330
450000,广西壮族自治区,2014,48.8104,3.4077,92.8587,45.4027,39.5402,2639197,1938319
450000,广西壮族自治区,2013,45.2745,3.3883,89.1982,41.8862,35.5696,2419061,1660860
450000,广西壮族自治区,2012,38.5696,3.4362,90.5561,35.1334,33.9811,1789790,1598077
450000,广西壮族自治区,2011,34.9807,3.3414,85.4439,31.6393,30.5734,1652644,1477128
450000,广西壮族自治区,2010,30.91,3.27,80.53,27.64,26.77,1303700,1199800
450000,广西壮族自治区,2009,27.1596,4.6993,84.2548,22.4603,21.7501,956382,881888
450000,广西壮族自治区,2008,22.2233,4.4228,76.2284,17.8005,17.1984,726053,661293
450000,广西壮族自治区,2007,18.2384,4.0938,70.5425,14.1446,13.6896,567328,526016
450000,广西壮族自治区,2006,16.1641,3.7858,63.8664,12.3783,12.0329,549632,498484
450000,广西壮族自治区,2005,15.659,3.6891,60.0508,11.9699,11.1252,530300,458500
450000,广西壮族自治区,2004,15.06,3.71,58.49,11.35,11.1,443200,403300
450000,广西壮族自治区,2003,14.46,3.65,58.95,10.81,10.62,351100,332700
450000,广西壮族自治区,2002,14.05,3.42,56.5,10.64,10.49,347900,336700
450000,广西壮族自治区,2001,14.31,3.44,60.1,10.87,10.72,361300,352700
450000,广西壮族自治区,2000,13.48,2.74,57.28,10.74,10.64,366300,360400
460000,海南省,2019,3.2569,0.5685,19.4535,2.6884,1.5418,324954,126951
460000,海南省,2018,6.0081,0.5284,16.807,5.4797,4.695,280457,154432
460000,海南省,2017,6.9091,0.6107,18.1923,6.2984,5.6757,270811,175457
460000,海南省,2016,6.8149,0.6286,18.5911,6.1863,5.5855,265304,174165
460000,海南省,2015,6.3202,0.6162,18.0674,5.704,5.207,233529,161136
460000,海南省,2014,6.1676,0.5908,16.6605,5.5768,5.1292,228552,166941
460000,海南省,2013,5.9807,0.5902,16.3685,5.3905,4.9652,235516,173647
460000,海南省,2012,6.1689,0.58,15.7897,5.5889,5.4255,207753,187152
460000,海南省,2011,5.9695,0.5792,15.238,5.3903,5.2617,199785,186499
460000,海南省,2010,5.31,0.59,14.7,4.72,4.61,156500,147700
460000,海南省,2009,4.9741,1.0736,19.5025,3.9005,3.8033,119585,112063
460000,海南省,2008,3.7682,1.1156,20.0858,2.6526,2.5797,85784,77265
460000,海南省,2007,3.4642,1.1624,19.5094,2.3018,2.24,74197,67768
460000,海南省,2006,3.478,1.1461,19.5503,2.3319,2.0764,59084,53098
460000,海南省,2005,2.9782,0.9762,18.5719,2.002,1.9592,60600,55900
460000,海南省,2004,2.98,0.95,18.49,2.03,1.99,60600,56900
460000,海南省,2003,2.84,0.86,15.85,1.98,1.96,62100,60100
460000,海南省,2002,2.78,0.81,15.38,1.97,1.96,61800,60900
460000,海南省,2001,2.91,0.81,14.73,2.09,2.08,73300,72500
460000,海南省,2000,2.71,0.81,13.41,1.9,1.89,71200,70400
500000,重庆市,2019,28.337,1.9821,45.7177,26.3549,16.3086,2761777,1313148
500000,重庆市,2018,29.7374,1.7615,45.3029,27.9759,20.2201,2484970,1468349
500000,重庆市,2017,31.3535,1.8327,47.5229,29.5208,24.5791,2193457,1610588
500000,重庆市,2016,28.7084,1.9032,50.295,26.8052,23.6383,1786570,1379732
500000,重庆市,2015,28.5975,1.9946,51.6165,26.6029,23.6123,1682658,1348331
500000,重庆市,2014,28.9944,1.9664,51.2582,27.028,23.9486,1611506,1294047
500000,重庆市,2013,27.5428,1.9214,50.2486,25.6214,23.2907,1391163,1153648
500000,重庆市,2012,25.5784,2.2638,57.8403,23.3146,22.0202,1112363,987773
500000,重庆市,2011,28.1901,2.1797,54.3087,26.0104,24.8469,1077234,968957
500000,重庆市,2010,26.55,2.11,50.31,24.44,23.33,897700,801100
500000,重庆市,2009,24.5142,3.6411,53.017,20.8731,19.5651,678040,600804
500000,重庆市,2008,20.6695,3.427,49.8017,17.2425,16.147,541319,479649
500000,重庆市,2007,20.3855,3.3103,49.3514,17.0752,16.0576,513702,465873
500000,重庆市,2006,20.9582,3.3223,48.897,17.6359,17.0329,527424,499243
500000,重庆市,2005,18.4836,3.2527,47.3227,15.2309,14.9205,427600,409600
500000,重庆市,2004,38.03,19.38,232.13,18.66,18.17,500300,460700
500000,重庆市,2003,33.36,18.0,260.32,15.36,14.92,380900,353000
500000,重庆市,2002,29.07,14.88,169.58,14.19,13.45,382900,351600
500000,重庆市,2001,25.09,14.4,164.2,10.68,10.48,282500,273900
500000,重庆市,2000,20.55,10.93,121.42,9.63,9.47,263500,256000
510000,四川省,2019,53.9762,4.8267,113.1913,49.1495,34.6159,4886624,2562539
510000,四川省,2018,62.073,4.841,114.4546,57.232,44.8909,4437401,2540515
510000,四川省,2017,60.0241,4.9296,116.9599,55.0945,45.0378,3862801,2311126
510000,四川省,2016,56.9375,4.9356,116.8539,52.0019,45.128,3272325,2252478
510000,四川省,2015,56.0518,5.0765,118.0377,50.9753,45.2479,2990338,2224014
510000,四川省,2014,62.9281,5.3287,119.5177,57.5994,52.5988,3043458,2359850
510000,四川省,2013,60.7899,5.3337,117.9974,55.4562,51.4449,2677585,2165559
510000,四川省,2012,61.7722,5.2116,113.9068,56.5606,54.2779,2337831,2067497
510000,四川省,2011,59.9697,5.0937,109.8848,54.876,52.7131,2105211,1861493
510000,四川省,2010,55.37,5.05,106.46,50.32,48.46,1651100,1460800
510000,四川省,2009,50.4869,7.6729,128.9448,42.814,40.8167,1351282,1160285
510000,四川省,2008,43.5689,8.1057,126.5576,35.4632,34.4125,943086,857426
510000,四川省,2007,40.105,7.7716,118.536,32.3334,31.4082,864905,795427
510000,四川省,2006,36.3922,7.6184,114.4993,28.7738,27.1484,737136,660632
510000,四川省,2005,36.4845,7.7964,112.8657,28.6881,28.3537,710100,684300
510000,四川省,2004,34.46,7.79,112.72,26.67,26.41,665900,647500
510000,四川省,2003,32.92,7.61,112.67,25.31,25.1,607200,592300
510000,四川省,2002,32.57,7.7,112.2,24.88,24.65,607200,593500
510000,四川省,2001,31.61,7.49,105.98,24.12,23.93,604700,593400
510000,四川省,2000,31.45,7.08,99.17,24.37,24.16,627200,615300
520000,贵州省,2019,12.5304,2.7068,63.5077,9.8236,7.8528,907246,667947
520000,贵州省,2018,19.6238,2.7844,61.7706,16.8394,14.4388,1107610,796589
520000,贵州省,2017,21.4034,2.8665,61.8566,18.5369,16.9831,979599,842431
520000,贵州省,2016,28.1982,3.0012,65.3088,25.197,23.1013,1123751,980649
520000,贵州省,2015,27.8423,3.0058,64.5597,24.8365,23.295,1071929,956639
520000,贵州省,2014,28.1458,3.0678,65.3686,25.078,23.6719,1045318,935119
520000,贵州省,2013,25.7565,2.9772,61.779,22.7793,22.2861,909342,865302
520000,贵州省,2012,25.2235,2.9627,59.8186,22.2608,21.5582,754429,700410
520000,贵州省,2011,22.9064,2.8653,56.3527,20.0411,19.4576,663514,614839
520000,贵州省,2010,20.58,2.79,53.43,17.79,17.29,568300,534100
520000,贵州省,2009,17.5909,2.7371,50.47,14.8538,14.5934,454145,433270
520000,贵州省,2008,14.4635,2.5534,46.5925,11.9101,11.687,346516,329999
520000,贵州省,2007,12.8662,2.6427,45.393,10.2235,10.0077,310196,293815
520000,贵州省,2006,12.3235,3.3298,47.7701,8.9937,8.7452,284088,266579
520000,贵州省,2005,12.9097,3.8325,49.0115,9.0772,9.0105,291300,285700
520000,贵州省,2004,20.05,9.96,88.18,10.08,9.98,281000,275700
520000,贵州省,2003,18.31,9.09,79.04,9.22,9.15,240700,236600
520000,贵州省,2002,16.09,7.45,74.72,8.63,8.56,225900,222400
520000,贵州省,2001,15.87,7.01,68.96,8.86,8.77,238900,234900
520000,贵州省,2000,14.38,6.33,64.22,8.06,7.98,233000,229400
530000,云南省,2019,39.345,4.6084,78.5794,34.7366,29.2741,2646540,1838175
530000,云南省,2018,53.0672,4.7876,76.7878,48.2796,43.2469,2695646,2025168
530000,云南省,2017,65.302,4.9493,81.4369,60.3527,56.4761,2747505,2263781
530000,云南省,2016,63.8039,4.872,80.4476,58.9319,56.2464,2492480,2112769
530000,云南省,2015,63.5289,4.9204,81.3564,58.6085,56.2301,2429013,2103026
530000,云南省,2014,63.8505,4.9226,80.8362,58.9279,56.798,2449017,2149832
530000,云南省,2013,60.0268,4.8844,78.16,55.1424,53.2126,2191232,1952623
530000,云南省,2012,55.5542,4.8766,77.4035,50.6776,49.8796,1854055,1767831
530000,云南省,2011,51.1912,4.7689,75.1664,46.4223,45.6135,1700459,1620716
530000,云南省,2010,44.64,4.77,74.24,39.88,39.05,1375800,1305800
530000,云南省,2009,38.2847,5.6934,81.39,32.5913,31.9128,1069076,1010771
530000,云南省,2008,32.0293,5.2101,76.1916,26.8192,26.1704,863168,810228
530000,云南省,2007,27.8563,5.0195,72.2955,22.8368,22.358,764840,727097
530000,云南省,2006,27.9565,5.0944,69.5487,22.8621,22.2139,757905,705960
530000,云南省,2005,26.0208,5.3886,68.9673,20.6322,20.3876,688700,666500
530000,云南省,2004,61.92,44.77,362.9,17.15,16.82,557600,533100
530000,云南省,2003,62.15,39.53,341.68,22.63,22.38,711400,686600
530000,云南省,2002,50.43,31.16,163.75,19.26,18.61,616700,587600
530000,云南省,2001,49.49,27.38,181.23,22.1,21.9,703800,688400
530000,云南省,2000,43.24,20.21,264.87,23.03,22.88,648300,636400
540000,西藏自治区,2019,5.3238,0.4756,8.79,4.8482,3.9818,527957,405754
540000,西藏自治区,2018,6.4283,0.4939,8.9209,5.9344,5.3641,483047,403859
540000,西藏自治区,2017,6.2436,0.5382,9.943,5.7054,5.2536,417770,370085
540000,西藏自治区,2016,5.7221,0.5389,10.2619,5.1832,4.8508,357689,318383
540000,西藏自治区,2015,4.9897,0.5183,10.5711,4.4714,4.1901,300442,268942
540000,西藏自治区,2014,4.6879,0.5163,10.2733,4.1716,3.9358,292060,264528
540000,西藏自治区,2013,4.0674,0.5143,10.5163,3.5531,3.2855,246407,215806
540000,西藏自治区,2012,3.3566,0.5096,10.3533,2.847,2.7271,182310,165406
540000,西藏自治区,2011,2.8317,0.5051,9.7219,2.3266,2.2181,159583,145056
540000,西藏自治区,2010,2.29,0.48,8.9,1.81,1.71,128200,117000
540000,西藏自治区,2009,2.2391,0.7138,10.6293,1.5253,1.4435,102756,92561
540000,西藏自治区,2008,2.0647,0.7001,10.3093,1.3646,1.2908,84465,76874
540000,西藏自治区,2007,2.6151,0.6796,10.0491,1.9355,1.8725,96764,90661
540000,西藏自治区,2006,2.9171,0.6322,9.2019,2.2849,2.1885,111524,104763
540000,西藏自治区,2005,2.6103,0.5362,7.1166,2.0741,2.0393,109900,106000
540000,西藏自治区,2004,3.0,0.99,9.14,2.01,1.99,115700,114100
540000,西藏自治区,2003,2.91,0.93,8.19,1.98,1.93,123600,120800
540000,西藏自治区,2002,2.19,0.64,7.12,1.55,1.45,75000,69800
540000,西藏自治区,2001,1.98,0.41,4.87,1.57,1.57,83600,83000
540000,西藏自治区,2000,1.93,0.5,5.65,1.44,1.42,77700,76700
610000,陕西省,2019,24.9264,1.9015,56.3639,23.0249,9.7149,3147057,1121092
610000,陕西省,2018,43.8025,1.8447,53.8185,41.9578,31.2829,2992291,1403025
610000,陕西省,2017,41.0243,1.8801,54.5942,39.1442,30.3022,2562947,1391473
610000,陕西省,2016,43.3324,2.8859,59.7901,40.4465,32.366,2505801,1457798
610000,陕西省,2015,43.0021,2.5609,58.3889,40.4412,32.9159,2444495,1483165
610000,陕西省,2014,41.3973,2.6005,59.2684,38.7968,31.5572,2392569,1479895
610000,陕西省,2013,37.978,2.6605,59.71,35.3175,28.4308,2275524,1434053
610000,陕西省,2012,35.7336,2.9405,58.5096,32.7931,31.5904,1958003,1811506
610000,陕西省,2011,33.6949,2.9692,58.6916,30.7257,29.5663,1769457,1616956
610000,陕西省,2010,28.73,2.97,56.26,25.75,24.69,1436000,1308000
610000,陕西省,2009,25.9729,4.5737,75.0822,21.3992,20.419,1154898,1043435
610000,陕西省,2008,20.1729,4.2618,69.0586,15.9111,14.7058,739278,610355
610000,陕西省,2007,18.182,4.4853,69.6858,13.6967,12.5612,534368,417315
610000,陕西省,2006,17.6423,5.4805,72.0486,12.1618,10.761,458946,365573
610000,陕西省,2005,16.3173,5.2585,58.5192,11.0588,10.5656,407400,353000
610000,陕西省,2004,15.04,4.92,54.28,10.12,9.79,360300,329100
610000,陕西省,2003,13.63,4.01,50.69,9.61,9.28,331600,316600
610000,陕西省,2002,12.87,3.72,47.81,9.15,8.83,331200,307900
610000,陕西省,2001,11.88,3.3,45.59,8.58,8.34,302600,286600
610000,陕西省,2000,11.97,3.03,43.25,8.94,8.66,321400,304900
620000,甘肃省,2019,25.3516,1.8906,42.2592,23.461,19.1237,1570160,939732
620000,甘肃省,2018,30.6305,1.9939,44.3837,28.6366,25.1327,1416002,902909
620000,甘肃省,2017,32.542,2.037,46.6224,30.505,27.4058,1480494,1113444
620000,甘肃省,2016,31.3165,2.0534,46.9182,29.2631,26.325,1397249,1029737
620000,甘肃省,2015,30.5811,1.9876,44.8259,28.5935,25.6554,1383109,1025237
620000,甘肃省,2014,31.491,2.0246,45.2947,29.4664,26.4729,1471752,1087490
620000,甘肃省,2013,28.2967,2.0494,44.9952,26.2473,23.5162,1342523,991411
620000,甘肃省,2012,23.7221,1.8819,40.5846,21.8402,21.0818,988821,901411
620000,甘肃省,2011,20.7722,1.8551,40.8747,18.9171,18.2346,879248,796932
620000,甘肃省,2010,18.08,1.8,39.23,16.28,15.7,785700,711700
620000,甘肃省,2009,16.843,4.6001,53.3428,12.2429,11.7775,518873,466068
620000,甘肃省,2008,14.5211,4.145,47.4523,10.3761,9.9834,439172,398067
620000,甘肃省,2007,13.5374,3.9088,44.9599,9.6286,9.2919,388865,359394
620000,甘肃省,2006,12.9179,3.7809,43.1453,9.137,8.2566,381149,311731
620000,甘肃省,2005,12.9481,3.7275,41.4645,9.2206,8.6933,383100,350100
620000,甘肃省,2004,14.65,5.82,59.33,8.83,8.34,344500,321100
620000,甘肃省,2003,13.86,5.37,54.38,8.49,7.98,312200,294500
620000,甘肃省,2002,11.97,4.27,46.55,7.7,7.55,290600,281200
620000,甘肃省,2001,11.91,4.64,50.18,7.28,7.16,275400,269600
620000,甘肃省,2000,10.27,2.97,35.88,7.3,7.19,273100,265000
630000,青海省,2019,7.4895,0.363,10.876,7.1265,5.3856,565337,334134
630000,青海省,2018,8.2139,0.3614,10.7815,7.8525,6.2488,535462,333180
630000,青海省,2017,8.2886,0.3401,10.0749,7.9485,6.58,493252,297209
630000,青海省,2016,7.8082,0.3339,9.335,7.4743,6.323,427906,269596
630000,青海省,2015,9.0231,0.3044,7.9136,8.7187,7.7963,470817,337505
630000,青海省,2014,9.4851,0.3363,8.1027,9.1488,8.3473,551180,435389
630000,青海省,2013,8.7417,0.3731,8.0168,8.3686,7.5596,436044,323602
630000,青海省,2012,8.9281,0.402,8.4626,8.5261,8.2284,425007,396087
630000,青海省,2011,8.0981,0.5003,9.9589,7.5978,7.2277,392861,342772
630000,青海省,2010,6.86,0.53,9.14,6.33,6.03,295900,255600
630000,青海省,2009,6.8825,1.8311,27.4085,5.0514,4.8993,232177,216045
630000,青海省,2008,5.8049,1.8582,21.0205,3.9467,3.8368,168390,156911
630000,青海省,2007,5.4127,1.7049,19.5908,3.7078,3.6207,136532,127998
630000,青海省,2006,5.3399,1.6965,20.8598,3.6434,3.5553,142185,134279
630000,青海省,2005,4.5908,1.0098,16.8005,3.581,3.5281,143200,137000
630000,青海省,2004,6.1,2.5,21.26,3.6,3.55,144400,138200
630000,青海省,2003,6.1,2.58,23.9,3.52,3.45,139800,133600
630000,青海省,2002,5.25,2.01,21.01,3.24,3.17,129200,124100
630000,青海省,2001,5.19,1.91,20.38,3.27,3.21,127100,121900
630000,青海省,2000,5.21,1.98,21.85,3.24,3.17,132200,126400
640000,宁夏回族自治区,2019,10.8016,0.466,15.0077,10.3356,3.2192,1336406,338603
640000,宁夏回族自治区,2018,10.0602,0.4737,15.2749,9.5865,3.8843,1158840,331199
640000,宁夏回族自治区,2017,10.1008,0.5024,15.7497,9.5984,5.2251,1022517,391305
640000,宁夏回族自治区,2016,10.8974,0.5318,16.0904,10.3656,6.6044,954254,462488
640000,宁夏回族自治区,2015,11.9656,0.5499,16.2121,11.4157,7.8518,939649,473052
640000,宁夏回族自治区,2014,13.5917,0.575,16.9706,13.0167,9.7205,1029858,621930
640000,宁夏回族自治区,2013,14.1712,0.5964,16.4732,13.5748,10.4836,1067091,684440
640000,宁夏回族自治区,2012,12.5528,0.582,16.0423,11.9708,11.6402,869615,817147
640000,宁夏回族自治区,2011,11.6614,0.6011,15.6699,11.0603,10.738,826912,776414
640000,宁夏回族自治区,2010,10.65,0.58,14.62,10.07,9.72,711200,655000
640000,宁夏回族自治区,2009,10.2644,1.7341,22.5287,8.5303,8.1527,547841,491566
640000,宁夏回族自治区,2008,9.8019,1.6179,20.5928,8.184,7.8039,470136,412955
640000,宁夏回族自治区,2007,8.6737,1.5047,17.9335,7.169,6.8436,361423,299508
640000,宁夏回族自治区,2006,7.6333,1.4644,17.2285,6.1689,5.9118,257249,225490
640000,宁夏回族自治区,2005,7.2417,1.4699,17.1726,5.7718,5.6361,194500,182400
640000,宁夏回族自治区,2004,8.43,2.31,23.4,6.12,5.99,185300,175100
640000,宁夏回族自治区,2003,7.67,2.33,24.13,5.34,5.22,155400,145100
640000,宁夏回族自治区,2002,6.54,2.19,22.1,4.35,4.25,127100,118800
640000,宁夏回族自治区,2001,6.33,2.14,22.05,4.18,4.07,122100,113900
640000,宁夏回族自治区,2000,5.89,2.04,20.94,3.85,3.8,121000,116200
650000,新疆维吾尔自治区,2019,31.2683,3.4824,54.5544,27.7859,13.4006,3488257,1200277
650000,新疆维吾尔自治区,2018,37.1078,3.4057,53.5961,33.7021,20.5433,3379220,1293108
650000,新疆维吾尔自治区,2017,35.4158,3.4749,57.9408,31.9409,21.3483,2860969,1273503
650000,新疆维吾尔自治区,2016,35.4143,3.6353,61.4202,31.779,21.5868,2643543,1229693
650000,新疆维吾尔自治区,2015,46.2716,3.7668,64.6798,42.5048,30.5767,3197815,1520857
650000,新疆维吾尔自治区,2014,50.4871,3.8158,66.4086,46.6713,35.2338,3363114,1741957
650000,新疆维吾尔自治区,2013,48.6672,3.7381,64.7887,44.9291,33.8885,3207525,1622979
650000,新疆维吾尔自治区,2012,39.1073,3.653,63.7151,35.4543,33.2614,1943109,1673145
650000,新疆维吾尔自治区,2011,34.7224,3.5019,59.3013,31.2205,29.4174,1692865,1478485
650000,新疆维吾尔自治区,2010,30.19,3.33,56.57,26.86,25.35,1452400,1265800
650000,新疆维吾尔自治区,2009,27.5286,4.7757,65.7764,22.7529,21.4221,1202419,1028869
650000,新疆维吾尔自治区,2008,23.6475,4.5921,63.1304,19.0554,18.0704,952047,823580
650000,新疆维吾尔自治区,2007,22.4178,4.4192,62.329,17.9986,17.1166,892802,776479
650000,新疆维吾尔自治区,2006,21.8839,4.0486,54.0722,17.8353,17.102,1003713,901827
650000,新疆维吾尔自治区,2005,23.1476,4.0825,50.3526,19.0651,17.7344,989100,934400
650000,新疆维吾尔自治区,2004,21.25,3.99,48.67,17.26,16.06,864100,809000
650000,新疆维吾尔自治区,2003,17.98,3.61,45.19,14.37,13.29,604400,556500
650000,新疆维吾尔自治区,2002,15.54,3.53,43.88,12.02,11.74,505900,475100
650000,新疆维吾尔自治区,2001,16.11,3.48,45.31,12.63,12.44,616000,591600
650000,新疆维吾尔自治区,2000,15.12,3.2,43.67,11.92,11.72,561600,534800
