省份编码,省份,年份,年末常住人口(万人),城镇人口(万人),乡村人口(万人)
640000,宁夏回族自治区,2012,647.19,327.931173,319.258827
640000,宁夏回族自治区,2011,639.45,318.57399,320.87601
640000,宁夏回族自治区,2010,632.96,303.18784,329.77216
640000,宁夏回族自治区,2009,625.2,288.2172,336.9828
640000,宁夏回族自治区,2008,617.69,277.836962,339.853038
640000,宁夏回族自治区,2007,610.25,268.63205,341.61795
640000,宁夏回族自治区,2006,603.73,259.6039,344.1261
640000,宁夏回族自治区,2005,596.2,252.07336,344.12664
640000,宁夏回族自治区,2004,588,,
640000,宁夏回族自治区,2003,580,,
640000,宁夏回族自治区,2002,572,,
640000,宁夏回族自治区,2001,563,,
640000,宁夏回族自治区,2000,554,,
650000,新疆维吾尔自治区,2019,2523,1309,1214
650000,新疆维吾尔自治区,2018,2487,1266.1317,1220.8683
650000,新疆维吾尔自治区,2017,2445,1207.341,1237.659
650000,新疆维吾尔自治区,2016,2398,1159.433,1238.567
650000,新疆维吾尔自治区,2015,2359.73,1114.500479,1245.229521
650000,新疆维吾尔自治区,2014,2298.47,1058.905129,1239.564871
650000,新疆维吾尔自治区,2013,2264.3,1006.93421,1257.36579
650000,新疆维吾尔自治区,2012,2232.78,981.976644,1250.803356
650000,新疆维吾尔自治区,2011,2208.71,961.672334,1247.037666
650000,新疆维吾尔自治区,2010,2185,939.7685,1245.2315
650000,新疆维吾尔自治区,2009,2158.63,860.214055,1298.415945
650000,新疆维吾尔自治区,2008,2130.81,844.653084,1286.156916
650000,新疆维吾尔自治区,2007,2095.19,820.266885,1274.923115
650000,新疆维吾尔自治区,2006,2050,777.77,1272.23
650000,新疆维吾尔自治区,2005,2010.35,746.845025,1263.504975
650000,新疆维吾尔自治区,2004,1963,,
650000,新疆维吾尔自治区,2003,1934,,
650000,新疆维吾尔自治区,2002,1905,,
650000,新疆维吾尔自治区,2001,1876.19,,
650000,新疆维吾尔自治区,2000,1849,,
