省份编码,省份,年份,农村居民家庭拥有汽车数量(辆/百户),农村居民家庭拥有大中型拖拉机数量(台/百户),农村居民家庭拥有小型和手扶拖拉机数量(台/百户),农村居民家庭拥有机动脱粒机数量(台/百户),农村居民家庭拥有胶轮大车数量(辆/百户),农村居民家庭拥有水泵数量(台/百户),农村居民家庭拥有役畜数量(头/百户),农村居民家庭拥有产品畜数量(头/百户)
350000,福建省,2018,,,,,,,,
350000,福建省,2017,,,,,,,,
350000,福建省,2016,,,,,,,,
350000,福建省,2015,,,,,,,,
350000,福建省,2014,,,,,,,,
350000,福建省,2013,,,,,,,,
350000,福建省,2012,3.7445079086116,1.48286467486819,4.35632688927944,9.24318980667838,1.30711775043937,10.8545694200351,6.70035149384886,74.2860281195079
350000,福建省,2011,3.61599297012302,1.26318101933216,4.33985061511424,9.24318980667838,1.48286467486819,10.4338752196837,3.40509666080844,126.302724077329
350000,福建省,2010,2.69230769230769,0.824175824175824,5.76923076923077,9.74175824175824,1.37362637362637,13.9010989010989,6.57967032967033,93.5714285714286
350000,福建省,2009,2.69,0.77,4.45,9.05,1.26,14.29,7.4,78.85
350000,福建省,2008,3.13,0.88,4.4,10.76,2.2,11.65,7.83,77.75
350000,福建省,2007,1.23626373626374,0.384615384615385,4.23076923076923,7.1978021978022,3.79120879120879,11.2087912087912,9.16483516483516,29.3186813186813
350000,福建省,2006,1.48351648351648,0.32967032967033,3.68131868131868,5.13736263736264,5.98901098901099,9.83516483516483,8.98076923076923,39.9450549450549
350000,福建省,2005,1.7032967032967,0.769230769230769,3.13186813186813,5.0,6.31868131868132,11.4835164835165,10.228021978022,30.7692307692308
350000,福建省,2004,1.59340659340659,0.54945054945055,3.24175824175824,8.7032967032967,3.07692307692308,10.2197802197802,10.4505494505494,19.5054945054945
350000,福建省,2003,1.26373626373626,0.934065934065934,3.07692307692308,8.04395604395604,4.23076923076923,7.08791208791209,11.1950549450549,23.5714285714286
350000,福建省,2002,1.32,0.66,3.3,8.65,3.63,7.36,16.26,38.08
350000,福建省,2001,1.20879120879121,0.659340659340659,3.46153846153846,6.63736263736264,3.24175824175824,8.18681318681319,16.2417582417582,37.967032967033
350000,福建省,2000,0.906593406593407,0.934065934065934,3.54395604395604,7.23076923076923,5.82417582417582,7.41758241758242,17.7967032967033,32.3516483516484
360000,江西省,2019,,,,,,,,
360000,江西省,2018,,,,,,,,
360000,江西省,2017,,,,,,,,
360000,江西省,2016,,,,,,,,
