省份编码,省份,年份,大牲畜年底头数(万头),牛期末数量(万头),马期末数量(万头),驴期末数量(万头),骡期末数量(万头),骆驼期末数量(万头),猪年底头数(万头),羊年底只数(万头),山羊期末数量(万头),绵羊期末数量(万头)
350000,福建省,2005,105.92,105.69,,,,,1330.11147100368,136.0,136.0,
350000,福建省,2004,107.84,107.84,,,,,1241.81054129857,128.94,128.94,
350000,福建省,2003,109.93,109.93,,,,,1180.80898102992,123.77,123.77,
350000,福建省,2002,109.4,109.3,0.07,0.01,0.02,,1132.9,106.4,106.4,
350000,福建省,2001,109.8,109.7,0.07,0.01,0.02,,1119.9,101.4,101.4,
350000,福建省,2000,111.55,111.44,0.07,0.02,0.02,,1108.6,96.22,96.22,
360000,江西省,2019,257.32,257.32,,,,,1006.3165,110.24,110.24,
360000,江西省,2018,246.45,246.45,,,,,1587.25,100.26,100.26,
360000,江西省,2017,241.397136,241.397136,,,,,1621.34277049248,95.28,95.28,
360000,江西省,2016,301.74642,301.74642,0.0,,,,1617.1470535,61.21,61.21,
360000,江西省,2015,313.34,313.34,,,,,1693.3477,58.21,58.21,
360000,江西省,2014,305.12,305.12,,,,,1738.55,57.34,57.34,
360000,江西省,2013,301.131,301.131,,,,,1708.02,56.23,56.23,
360000,江西省,2012,294.5,294.5,,,,,1645.884,54.6,54.6,0.0
360000,江西省,2011,281.4,281.4,,,,,1570.5,53.9,53.9,
360000,江西省,2010,277.1,277.1,,,,,1540.650195,55.8,55.8,0.0
360000,江西省,2009,269.325,269.325,,,,,1569.05,57.26,57.26,
360000,江西省,2008,239.4,239.4,,,,,1508.7,61.1,61.1,
360000,江西省,2007,221.333080475,221.333080475,,,,,1420.07,55.5480835,55.5480835,
360000,江西省,2006,224.703635,224.703635,,,,,1344.1272,57.0895,92.12,0.0
360000,江西省,2005,371.87,371.87,,,,,1566.68,105.25,105.25,
360000,江西省,2004,366.39,366.39,,,,,1441.45,107.35,94.25,13.1
360000,江西省,2003,358.55,358.55,,,,,1301.18,103.67,88.26,15.41
360000,江西省,2002,356.71,356.71,,,,,1369.9,73.9,73.9,
360000,江西省,2001,360.9,360.9,,,,,1481.4,86.4,60.1730355282953,26.2269644717047
360000,江西省,2000,369.36,369.36,,,,,1755.0,81.14,75.13,6.01
370000,山东省,2019,371.9031,364.2342,0.6552,6.7941,0.2196,,2176.50297643868,1837.43606583482,874.984617957425,962.4514478774
370000,山东省,2018,390.090852364,380.599952364,0.7148,8.5091,0.267,,2985.60079072521,1801.4079076812,875.225382362947,926.182525318254
370000,山东省,2017,413.779143,401.476743,0.7484,11.1349,0.4191,,3040.3266707996,1754.0485956,924.3836098812,829.6649857188
370000,山东省,2016,510.2101,495.6503,1.7796,11.9477,0.8325,,2764.088041,2197.65378,1173.85454684859,1023.79923315141
370000,山东省,2015,518.3754,503.57,2.3685,11.2273,1.2096,,2849.5753,2235.66,1639.59,596.07
370000,山东省,2014,511.03567,495.36357,2.504,11.7205,1.4476,,2910.7,2174.561266,1590.0,584.561266
370000,山东省,2013,514.398702906764,500.067002906764,2.9588,9.7655,1.6074,,2931.41092959,2158.05100031893,1600.33015846893,557.72084185
370000,山东省,2012,514.198173828638,499.268173828638,3.0289,10.2332,1.6679,,2902.387059,2163.8054,1622.85405,540.95135
370000,山东省,2011,509.082381074667,492.860981074667,3.1458,11.1421,1.9335,,2837.133,2150.9,1638.867,512.033
370000,山东省,2010,502.3922,483.67,4.272,11.8716,2.5786,,2747.55276568011,2138.88,1709.64,429.24
370000,山东省,2009,507.450982477375,485.613682477375,5.186,13.4161,3.2352,,2753.058883447,2096.93615497,1688.985,407.95115497
370000,山东省,2008,547.1567875,522.4882875,5.8136,15.051,3.8039,,2725.8008747,2142.8819973,1861.78564935,281.09634795
370000,山东省,2007,610.785,570.7,7.3251,26.9034,5.8565,,2656.51431948052,2342.25,2017.95,324.3
370000,山东省,2006,680.1305833,632.7105833,8.03,32.57,6.82,,2508.5165,2368.2617,2308.26,609.84
370000,山东省,2005,1046.46,970.712,13.1,54.78,8.06,,3238.6913,3404.8231,2683.0,721.8
370000,山东省,2004,1089.08,998.83,15.45,62.96,11.84,,3058.19,3286.77,2590.76,696.01
370000,山东省,2003,1143.8506,1040.1706,16.89,72.54,14.25,,2975.2145,3133.6745,2443.85,689.82
370000,山东省,2002,1128.76,1018.93,17.89,76.87,15.07,,2883.0,3039.45,2389.0077,650.4423
370000,山东省,2001,1124.76,1006.85,19.13,81.94,16.84,,2769.4,2904.47,2239.74,664.73
370000,山东省,2000,1140.28,1008.61,19.8,94.33,17.54,,2660.3,2784.73,2160.16,624.57
410000,河南省,2019,388.265,385.13,0.7229,2.1111,0.301,,3170.45665,1898.81163088125,1620.21544837631,278.59618250494
410000,河南省,2018,377.005732,373.411332,0.9148,2.3267,0.3529,,4337.15,1734.07454875,1473.9633664375,260.1111823125
410000,河南省,2017,376.0878,372.666,0.966,2.1786,0.2772,,4390.0,1682.02395,1412.88,269.14395
410000,河南省,2016,899.875,887.3,4.6133,6.4133,1.5484,,4284.104,1858.59,1741.30493129771,117.28506870229
410000,河南省,2015,955.307,934.0,8.0976,10.4846,2.7248,,4376.0,1926.0,1844.0,82.0
410000,河南省,2014,943.8456,918.2,9.893,12.4784,3.2742,,4420.0,1886.0,1808.0,78.0
410000,河南省,2013,936.795395209581,905.105395209581,11.23,16.7,3.76,,4426.7445,1830.3,1752.6,77.7
410000,河南省,2012,942.335,908.205,12.2,17.38,4.55,,4587.28,1827.7,1751.0493,76.6507000000001
410000,河南省,2011,988.6,955.0,12.6,16.33,4.67,,4569.0,1865.0,1785.0,80.0
410000,河南省,2010,1044.79,1010.2,13.08,16.08,5.43,,4547.04572,1895.4,1794.9438,100.4562
410000,河南省,2009,1080.054,1044.694,12.74,17.06,5.56,,4528.93,1997.24002875408,1900.9956,96.2444287540804
410000,河南省,2008,1097.5,1051.0,15.57,23.44,7.49,,4462.0,2038.0,1866.0,172.0
410000,河南省,2007,1082.46,1030.76,15.94,27.1,8.66,,4185.53134877052,1940.85,1759.23,181.62
410000,河南省,2006,1114.2397504,1051.8797504,16.63,31.23,14.5,,3953.3,1913.8957,3813.81,494.71
410000,河南省,2005,1508.8,1447.0,17.29,29.6,14.19,,4439.0,3988.0,3509.4,478.6
410000,河南省,2004,1491.19,1423.92,19.4,33.1,14.77,,4232.0,3910.0,3439.9555620884,470.044437911602
410000,河南省,2003,1469.45,1396.0,21.56,34.53,17.36,,3914.0,3315.8,2921.9,393.9
410000,河南省,2002,1410.41,1330.63,21.59,38.34,19.85,,3800.0,3378.02,3036.502178,341.517822
410000,河南省,2001,1428.93,1338.0,25.34,44.03,21.56,,3672.1,3120.07,2837.53,282.54
410000,河南省,2000,1445.73,1340.23,29.27,49.47,26.76,,3587.7,2961.36,2730.13,231.23
420000,湖北省,2019,243.5545,243.15,0.3272,0.0606,0.0167,,1617.85687604361,553.35,553.35,
420000,湖北省,2018,241.5297,241.09,0.3495,0.0732,0.017,,2521.8,546.79,546.79,
420000,湖北省,2017,238.4649,238.0,0.3259,0.1076,0.0242,0.0072,2578.526,543.5325896,543.5325896,
420000,湖北省,2016,355.9616,355.19,0.459,0.2377,0.0588,0.0161,2432.16,470.86,470.86,
420000,湖北省,2015,362.2251,361.33,0.5355,0.2858,0.0577,0.0161,2497.11025205122,465.704,465.55,0.154
420000,湖北省,2014,353.1852,352.25,0.5876,0.2595,0.0718,0.0163,2550.6744147612,469.89,469.73,0.15551
420000,湖北省,2013,345.269775031954,344.070475031954,0.6066,0.4127,0.18,,2566.0708398,462.907228765091,462.754028765091,0.1532
420000,湖北省,2012,334.8595,333.6405,0.7487,0.3622,0.1081,,2543.1822,435.06138,434.510825131541,0.550554868459188
420000,湖北省,2011,321.79,320.5,0.76,0.39,0.14,,2533.05,421.98,421.563757592762,0.41624240723803
420000,湖北省,2010,327.53,325.99,0.92,0.46,0.16,,2476.103256,401.66,401.26,0.4
420000,湖北省,2009,335.56,334.01,0.91,0.52,0.12,,2546.1216,413.226538005781,413.191,0.035538005781348
420000,湖北省,2008,319.12,317.5,0.97,0.49,0.16,,2462.4,376.20966454134,375.795833910345,0.413830630995449
420000,湖北省,2007,315.3811422,313.7611422,1.09,0.36,0.17,,2290.5828025,304.87006851,304.223913558305,0.646154951694996
420000,湖北省,2006,327.22108,325.14108,1.5,0.45,0.13,,2130.7747,282.6273,318.63,0.67
420000,湖北省,2005,384.32,377.0,1.58,0.44,0.16,,2340.3,337.66,336.97,0.69
420000,湖北省,2004,409.09,406.71,1.64,0.53,0.21,,2190.04,343.63,342.761680815423,0.868319184577383
420000,湖北省,2003,404.0,401.49,1.65,0.66,0.2,,2123.34,327.11,326.3,0.8
420000,湖北省,2002,401.87,399.28,1.68,0.65,0.26,,2107.6,301.94,300.551076,1.388924
420000,湖北省,2001,409.73,406.9,1.72,0.85,0.26,,1885.8,226.5,224.983236943949,1.51676305605079
420000,湖北省,2000,431.5,428.38,1.83,0.98,0.31,,1900.4,224.8,223.55,1.25
430000,湖南省,2019,412.0429,410.4,1.3647,0.1852,0.093,,2698.332,712.2,712.2,
430000,湖南省,2018,386.9691,385.4,1.3595,0.1319,0.0777,,3822.0,668.3,668.3,
430000,湖南省,2017,381.026059,379.374159,1.4141,0.1288,0.109,,3968.1,661.71,661.71,
430000,湖南省,2016,463.1773,457.0773,5.12,0.76,0.22,,3936.625053,529.1709,529.1709,
430000,湖南省,2015,478.03,471.7,5.36,0.77,0.2,,4079.4042,546.1,546.1,
430000,湖南省,2014,462.1523,456.8,4.4655,0.7125,0.1743,,4188.3,529.0,529.0,
430000,湖南省,2013,448.1743,442.906,4.3913,0.7092,0.1678,,4096.9075,512.5,512.5,
430000,湖南省,2012,435.672,430.5,4.3205,0.6914,0.1601,,4245.5222,500.8102,500.8102,
430000,湖南省,2011,430.7757,425.6,4.33,0.6851,0.1606,,4158.2,512.6,511.1,1.5
430000,湖南省,2010,440.3091,435.2,4.2614,0.6685,0.1792,,4044.857277,509.6,508.28,1.32
430000,湖南省,2009,444.8396,440.0,4.2405,0.4324,0.1667,,4032.759,521.106355150422,518.7,2.40635515042152
430000,湖南省,2008,420.8485,415.9,4.3685,0.4153,0.1647,,3915.3,503.1449415645,503.094627070343,0.050314494156453
430000,湖南省,2007,412.278779992426,407.697879992426,4.0031,0.4228,0.155,,3772.0,501.6400215,501.553957216316,0.086064283684095
430000,湖南省,2006,410.379032330772,405.669532330772,4.1036,0.4548,0.1511,,3452.4549,499.1443,693.94,0.14
430000,湖南省,2005,595.83,591.3,3.9,0.46,0.2,,4435.01,711.26,711.12,0.14
430000,湖南省,2004,587.87,583.55,3.64,0.49,0.19,,4343.43,671.08,670.96,0.12
430000,湖南省,2003,560.27,556.2,3.36,0.52,0.19,,4108.7,588.37,588.25,0.12
430000,湖南省,2002,537.93,534.0,3.2,0.54,0.19,,3908.5,483.0,482.88,0.12
430000,湖南省,2001,511.57,507.9,2.98,0.22,0.47,,3604.3,387.9,387.710009795834,0.189990204165807
430000,湖南省,2000,509.8,504.83,4.5,0.21,0.26,,3583.8,375.16,374.86,0.3
440000,广东省,2019,120.5791,120.576,0.0031,,,,1333.78637306157,93.5691430693016,93.5691430693016,
440000,广东省,2018,120.56066502433,120.55996502433,0.0007,,,,2024.26221439,92.964871405168,92.964871405168,
440000,广东省,2017,120.68464567,120.68064567,0.004,,,,2132.82285986567,93.30075412,93.30075412,
440000,广东省,2016,234.1029,234.1,0.0029,,,,2076.05099766681,42.65,42.65,
440000,广东省,2015,242.346479035745,242.340379035745,0.0061,,,,2135.8549358712,41.497344,41.497344,
440000,广东省,2014,241.967653829618,241.953253829618,0.0144,0.0,,,2130.103656,39.84,39.84,
440000,广东省,2013,238.204454134296,238.189854134296,0.0146,,,,2282.58,39.34,39.34,
440000,广东省,2012,232.9018,232.769,0.1328,0.0,0.0,,2256.628,40.1806,40.1806,
440000,广东省,2011,233.9822,233.82,0.1622,0.0,0.0,,2300.5984,40.56,40.56,
440000,广东省,2010,229.3269,229.1759,0.151,,,,2253.2876711034,37.0116588,37.0116588,0.0
440000,广东省,2009,233.3079,233.1393,0.1686,,,,2392.279086,37.1603,37.1603,
440000,广东省,2008,231.0917,230.9,0.1917,,,,2380.3772,36.2931,36.2931,
440000,广东省,2007,221.8381179,221.6477139,0.190404,,,,2275.088216,35.45,35.45,
440000,广东省,2006,229.3757,229.2117,0.164,,,,2002.7185,34.5158,37.6717,0.0
440000,广东省,2005,372.3972,372.2572,0.14,,,,2143.5,39.2006,39.2006,
440000,广东省,2004,395.11,394.97,0.14,,,,1989.05,32.23,32.23,
440000,广东省,2003,398.42,398.26,0.12,0.04,,,1961.05,27.76,27.8,
440000,广东省,2002,413.1406,413.04,0.1004,0.0002,,,2062.3,31.24,31.24,
440000,广东省,2001,434.63,434.54,0.09,,,,2138.8,35.9,35.9,
440000,广东省,2000,420.7,420.64,0.06,,,,2034.8,29.33,29.33,
450000,广西壮族自治区,2019,353.966757228,337.046757228,14.45,0.03,2.44,,1599.60023261959,231.214949984202,231.214949984202,
450000,广西壮族自治区,2018,350.70966,328.56966,18.77,0.04,3.33,,2298.27619629252,223.504059917063,222.881362038687,0.622697878375874
450000,广西壮族自治区,2017,352.361947442075,326.611947442075,21.95,0.07,3.73,,2293.68881865521,222.392099419963,222.392099419963,
450000,广西壮族自治区,2016,448.583265951378,418.733265951378,25.69,0.06,4.1,,2216.1244624688,203.6557686996,203.6557686996,
450000,广西壮族自治区,2015,479.595320502,445.935320502,29.55,0.06,4.05,,2303.6636824,202.64255592,202.64255592,
450000,广西壮族自治区,2014,484.677083,448.627083,31.32,0.09,4.64,,2360.31115,201.634384,201.634384,
450000,广西壮族自治区,2013,495.128219943006,456.988219943006,33.59,0.1,4.45,,2471.5332,202.16487,202.16487,
450000,广西壮族自治区,2012,494.2059,453.6259,35.58,0.09,4.91,,2466.6,203.587345,203.587345,
450000,广西壮族自治区,2011,486.58,441.7,39.5,0.13,5.25,,2411.976,198.235,198.235,
450000,广西壮族自治区,2010,495.55,450.0,39.93,0.11,5.51,,2344.038885,193.4,193.4,0.0
450000,广西壮族自治区,2009,493.49,448.0,40.42,0.1,4.97,,2332.377,190.0,190.0,
450000,广西壮族自治区,2008,463.52,421.82,36.58,0.11,5.01,,2307.0,176.44,176.44,
450000,广西壮族自治区,2007,441.86,396.81,40.33,0.12,4.6,,2169.47092037789,155.11,155.11,
450000,广西壮族自治区,2006,448.6505,403.798,40.442,0.1088,4.3017,,2259.86323,151.4045,263.6812,0.0
450000,广西壮族自治区,2005,777.23,735.57,39.59,0.08,4.1,,3015.04,259.96,260.0,
450000,广西壮族自治区,2004,783.28,739.71,39.86,0.06,3.65,,2670.99,278.06,278.06,
450000,广西壮族自治区,2003,802.72,760.61,38.74,0.07,3.3,,2637.67,246.57,246.6,
450000,广西壮族自治区,2002,807.96,766.48,38.36,0.05,3.07,,3029.3,232.43,232.43,
450000,广西壮族自治区,2001,806.98,766.56,37.63,0.05,2.74,,3154.6,237.55,237.55,
450000,广西壮族自治区,2000,814.51,775.25,36.82,0.06,2.38,,3171.8,241.8,241.8,
460000,海南省,2019,51.17,51.17,,,,,162.86,67.56,67.46,0.100000000000009
460000,海南省,2018,54.46,54.46,,,,,382.43,68.85,68.75,0.099999999999994
460000,海南省,2017,52.76637,52.76637,,,,,399.6,68.4,68.3,0.1
460000,海南省,2016,76.473,76.473,25.7,0.1,4.1,,385.48593,67.08008,66.9561929364967,0.123887063503332
460000,海南省,2015,84.24,84.24,,,,,401.13,66.68,66.68,
460000,海南省,2014,79.13,79.13,,,,,412.86,67.97,67.84,0.13
460000,海南省,2013,84.3264644868406,84.3264644868406,,,,,433.78,68.34,68.34,
460000,海南省,2012,87.39,87.39,0.0,0.0,0.0,,438.56397,66.03,66.03,
460000,海南省,2011,90.515466,90.515466,,,,,416.49,70.052848,70.052848,
460000,海南省,2010,92.58,92.58,,,,,413.217273,69.92,69.92,0.0
460000,海南省,2009,92.65,92.65,,,,,411.53,71.79,71.79,
460000,海南省,2008,86.72,86.72,,,,,416.25,70.79,70.79,
460000,海南省,2007,78.14,78.14,,,,,323.444130102809,55.21,55.21,
460000,海南省,2006,82.2573533,82.2573533,,,,,305.4239,58.6121,92.95,
460000,海南省,2005,142.99,142.99,,,,,393.54,88.87,88.87,
460000,海南省,2004,147.04,147.04,,,,,370.21,90.13,90.13,
460000,海南省,2003,147.04,147.04,,,,,346.56,93.86,93.86,
460000,海南省,2002,149.47,149.47,,,,,309.1,94.81,94.81,
460000,海南省,2001,150.2,150.2,,,,,301.0,97.0,97.0,
460000,海南省,2000,144.94,144.94,,,,,344.0,92.48,92.48,
500000,重庆市,2019,104.8454,103.38,1.0718,0.0503,0.3433,,921.62,318.79,318.67,0.120000000000005
500000,重庆市,2018,105.5959,103.69,1.4105,0.0681,0.4273,,1167.19,323.16,322.99,0.170000000000016
500000,重庆市,2017,110.8572,108.48,1.559,0.2377,0.5805,,1191.61,326.95,326.74,0.2
500000,重庆市,2016,147.80316,145.16266,1.6979,0.2555,0.6871,,1395.58,216.78238,216.608500178149,0.173879821850733
500000,重庆市,2015,151.43,148.58,1.74,0.28,0.83,,1450.39,225.58,225.43,0.15
500000,重庆市,2014,143.64,140.66,1.81,0.28,0.89,,1483.76,209.58,209.41,0.17
500000,重庆市,2013,139.68,136.66,1.8,0.32,0.9,,1502.25,185.23,185.07,0.16
500000,重庆市,2012,133.57744,130.50744,1.82,0.32,0.93,,1524.31,181.14825,181.022754276579,0.125495723421263
500000,重庆市,2011,127.86,124.53,2.15,0.28,0.9,,1540.57,176.73,176.57823,0.151769999999999
500000,重庆市,2010,131.39,128.08,2.14,0.29,0.88,,1557.868199936,168.41,168.25,0.16
500000,重庆市,2009,122.85,119.39,2.3,0.2,0.96,,1604.06528,142.29,142.29,
500000,重庆市,2008,107.36,103.61,2.11,0.19,1.45,,1566.47,129.53,129.517047,0.01295300000001
500000,重庆市,2007,98.15,94.44,2.55,0.2,0.96,,1422.92419414694,121.33,121.3,0.03
500000,重庆市,2006,97.5517,94.0017,2.33,0.21,1.01,,1377.3847,121.8634,348.17,0.13
500000,重庆市,2005,174.48,167.18,2.44,0.18,1.17,,1756.28,303.61,303.5,0.1
500000,重庆市,2004,167.22,163.74,2.36,0.2,0.92,,1720.16,285.62,285.455720193914,0.164279806085837
500000,重庆市,2003,173.15,169.88,2.24,0.21,0.82,,1719.56,245.09,244.9,0.2
500000,重庆市,2002,168.14,164.47,2.36,0.22,1.09,,1690.6,213.03,212.838273,0.191727
500000,重庆市,2001,174.19,170.61,2.3,0.21,1.07,,1636.4,168.67,168.489125747827,0.180874252172931
500000,重庆市,2000,167.45,164.05,2.19,0.19,1.02,,1610.0,160.64,160.46,0.18
510000,四川省,2019,944.5194,851.65,75.5926,8.5163,8.7605,,2870.6987,1504.079,1339.4563,164.6227
510000,四川省,2018,916.0299,824.3,74.3084,8.5069,8.9146,,4258.47061108297,1462.9,1303.5,159.4
510000,四川省,2017,947.182129356843,853.187912243653,75.4590249588128,9.26759607718841,9.26759607718841,,4376.63988806061,1599.2604,1425.93781050639,173.322589493611
510000,四川省,2016,1066.2880184587,969.531718458697,79.1873,7.7411,9.8279,,4675.89731630407,1761.3,1571.11958168049,190.18041831951
510000,四川省,2015,1082.77206184827,985.296461848269,79.4362,7.9407,10.0987,,4815.57054356672,1782.27600848147,1566.6,215.676008481466
510000,四川省,2014,1082.0455,983.8892,80.1817,7.8937,10.0809,,5000.59246476295,1750.74792964055,1529.76841275381,220.979516886748
510000,四川省,2013,1050.70419564473,949.696895644733,83.0033,7.9298,10.0742,,5004.095331495,1689.18545311609,1460.895,228.290453116089
510000,四川省,2012,1049.2326296,940.1781296,89.6221,8.815,10.6174,,5132.4054682,1671.9,1444.9750399882,226.924960011795
510000,四川省,2011,1093.3211,968.2576,103.279,10.4373,11.3472,,5101.7947,1661.7168,1435.6,226.1168
510000,四川省,2010,1084.95,964.4,99.35,10.17,11.03,,5157.854,1658.5,1421.0,237.5
510000,四川省,2009,1107.49454922281,989.169249222809,97.7867,9.94,10.5986,,5122.0,1723.94459588177,1573.6,150.344595881771
510000,四川省,2008,1102.5144,986.97,94.9393,10.1842,10.4209,,5325.8,1720.80324,1514.3068512,206.4963888
510000,四川省,2007,1101.884528,985.006128,95.6179,10.2805,10.98,,5295.8,1710.45399828,1376.2665864617,334.187411818298
510000,四川省,2006,1090.5856,980.1056,91.1,9.27,10.11,,5095.3,1630.2459,1162.3194,428.1306
510000,四川省,2005,1253.7531,1150.41,88.4538,8.7618,9.6217,,5744.77,1587.28,1276.2,311.1
510000,四川省,2004,1207.5785,1105.0,84.7936,8.6421,9.1428,,5627.31,1479.0,1134.31208537075,344.687914629247
510000,四川省,2003,1175.85,1078.0,81.47,8.15,8.23,,5564.87,1370.2,1030.8,339.4
510000,四川省,2002,1161.45,1067.4,78.09,7.84,8.12,,5376.2,1329.0,975.6189,353.3811
510000,四川省,2001,1111.92,1022.2,74.59,7.4,7.73,,5270.8,1287.0,903.8008399832,383.1991600168
510000,四川省,2000,1089.01,1002.77,71.29,7.45,7.5,,4781.1,1321.55,902.2,419.35
520000,贵州省,2019,508.1808,492.96,14.6656,0.1317,0.4235,,1171.2708,380.24891,359.333392583276,20.9155174167238
520000,贵州省,2018,482.989,465.32,17.0902,0.1261,0.4527,,1549.3,401.53,379.05,22.48
520000,贵州省,2017,503.9556783,492.3504675,11.16,0.13702,0.3081908,,1596.89,383.46552,362.48147091715,20.9840490828503
520000,贵州省,2016,586.33605,518.26365,65.9087,0.0951,2.0686,,1498.15592798,349.24,330.03,19.21
520000,贵州省,2015,609.2025,535.95,70.93,0.1817,2.1408,,1558.95518,354.67,335.16,19.51
520000,贵州省,2014,573.57,495.86,74.78,0.22,2.71,,1600.57,337.4,318.7,18.7
520000,贵州省,2013,536.899807519155,460.619807519155,73.39,0.2,2.69,,1604.1,299.588954453924,284.627399927992,14.9615545259322
520000,贵州省,2012,541.03237,461.03757,76.7601,0.3004,2.9343,,1604.09,290.09019,272.893000889733,17.1971891102669
520000,贵州省,2011,550.8169,467.11,80.2657,0.1502,3.291,,1521.6,256.49,243.32,13.17
520000,贵州省,2010,627.6413,541.7955,82.1139,0.1703,3.5616,,1616.34204,261.1,248.05,13.05
520000,贵州省,2009,626.2112,539.1,83.6385,0.1569,3.3158,,1617.96,252.978319152,238.089106537447,14.8892126145527
520000,贵州省,2008,611.493868,523.380768,84.5879,0.1311,3.3941,,1587.468135,231.241608,220.531576822567,10.7100311774328
520000,贵州省,2007,612.091513,513.091513,95.14,0.16,3.7,,1548.7,222.344829674926,209.004829674926,13.34
520000,贵州省,2006,578.8271,498.1471,78.02,0.19,2.47,,1562.0739,218.4162,444.62,19.48
520000,贵州省,2005,873.81,793.17,77.99,0.22,2.43,,1972.87,448.33,428.64,19.69
520000,贵州省,2004,839.88,758.86,78.53,0.18,2.31,,2033.14,420.98,398.92,22.06
520000,贵州省,2003,801.88,721.66,77.88,0.14,2.2,,1867.47,391.9,369.84,22.06
520000,贵州省,2002,771.04,692.57,76.23,0.18,2.06,,1869.1,360.74,339.64,21.1
520000,贵州省,2001,746.12,671.4,72.56,0.14,2.02,,1787.7,350.0,329.902296880357,20.0977031196435
520000,贵州省,2000,731.49,658.08,71.27,0.16,1.98,,1802.7,341.76,321.36,20.4
530000,云南省,2019,882.7622957035,827.8515957035,15.508,16.1891,23.2136,,2342.48787088959,1307.009145,1211.565225,95.4439199999999
530000,云南省,2018,859.578205,811.904105,14.2512,13.2336,20.1893,,3055.533866,1268.85,1175.25,93.5999999999999
530000,云南省,2017,855.356718759359,810.852755193943,13.2920260515734,12.0155421861201,19.1963953277219,,3029.18415262133,1240.20368272575,1149.38798742953,90.8156952962128
530000,云南省,2016,947.8052,789.87,62.3732,34.8764,60.6856,,2575.397475693,1043.67662658831,968.012282131764,75.6643444565483
530000,云南省,2015,922.435947540964,756.839647540964,66.6974,35.8455,63.0534,,2625.277753,1057.42312724246,979.29,78.1331272424645
530000,云南省,2014,922.328383671592,750.832983671592,68.8715,37.511,65.1129,,2678.85485,1008.02967325306,932.746881161875,75.2827920911895
530000,云南省,2013,881.659679836179,730.382279836179,58.5789,33.5596,59.1389,,2708.65,929.059606684852,845.530212702396,83.5293939824556
530000,云南省,2012,926.10134,747.16134,71.43,39.43,68.08,,2708.64874,913.50246,816.148853959842,97.3536060401581
530000,云南省,2011,927.6612,745.67,75.8677,39.2725,66.851,,2689.82,900.89,802.686727546788,98.203272453212
530000,云南省,2010,923.0702,746.65,74.3012,35.0289,67.0901,,2766.815104,877.941036,780.483004324782,97.4580316752184
530000,云南省,2009,919.54,742.57,74.36,34.06,68.55,,2736.17,877.59,774.022264758933,103.567735241067
530000,云南省,2008,883.5692,706.43,75.2974,34.1941,67.6477,,2669.03,843.27,755.56992,87.70008
530000,云南省,2007,903.07015010225,725.66705010225,75.4827,33.9672,67.9532,,2457.60054633052,825.816701553299,752.050535224699,73.7661663286004
530000,云南省,2006,892.633804,712.980704,78.7703,34.0121,66.8707,,2365.01258882,793.4221,838.9,98.6
530000,云南省,2005,937.5777,802.1,78.2576,33.266,65.8941,,2601.71,976.93,874.3,102.6
530000,云南省,2004,966.6096,788.62,79.7556,32.8838,65.3502,,2605.49,853.16,759.61,93.55
530000,云南省,2003,941.5,762.57,81.18,32.61,65.14,,2554.13,809.56,716.19,93.37
530000,云南省,2002,930.2259,750.39,83.0678,31.9836,64.7845,,2486.9,784.13,689.25027,94.87973
530000,云南省,2001,973.21,793.39,83.66,31.87,64.29,,2518.6,838.31,731.62,106.69
530000,云南省,2000,1036.32,854.82,86.28,32.1,63.12,,2587.1,892.92,770.83,122.09
540000,西藏自治区,2019,654.6846,621.8875,27.9174,3.749,1.1307,,31.1531,1016.9755,331.8729,685.1026
540000,西藏自治区,2018,642.1958,608.4,27.7323,4.8453,1.2182,,38.79,1047.14,366.82,680.32
540000,西藏自治区,2017,628.3018,592.62,28.1868,6.1352,1.3598,,42.29,1105.25,387.62,717.63
540000,西藏自治区,2016,648.472863457346,609.964743457346,30.55242,6.55776,1.39794,,37.3756134266727,1437.66169573979,513.025852388082,924.635843351708
540000,西藏自治区,2015,654.206003492269,616.126003492269,30.22,6.48,1.38,,38.5713244857303,1496.00592688844,533.845840154092,962.160086734348
540000,西藏自治区,2014,652.480699992307,613.060699992307,30.56,7.44,1.42,,39.8464095926966,1457.08315429287,519.305291978689,937.777862314179
540000,西藏自治区,2013,659.350210713265,617.910210713265,32.11,7.77,1.56,,36.9794625,1558.64326250753,563.3684173962,995.274845111329
540000,西藏自治区,2012,643.5573,600.7573,33.35,7.82,1.63,,34.3995,1525.9166235,563.3684173962,962.5482061038
540000,西藏自治区,2011,660.3665,614.9,35.5561,8.14,1.7704,,32.3,1646.0805,607.7329206,1038.3475794
540000,西藏自治区,2010,662.1946,610.2646,41.57,8.54,1.82,,29.638169,1656.0805,488.93193,1167.14857
540000,西藏自治区,2009,697.08,645.1,41.47,8.68,1.83,,30.47,1674.5,494.37,1180.13
540000,西藏自治区,2008,696.1,644.49,41.02,8.78,1.81,,30.56,1677.86,645.5,1032.36
540000,西藏自治区,2007,674.32141993,622.31141993,41.34,8.92,1.75,,25.464272,1707.09143246,682.836572984,1024.254859476
540000,西藏自治区,2006,665.5043,613.0543,41.56,9.18,1.71,,27.952,1735.2017,636.84,1066.0
540000,西藏自治区,2005,686.15,632.47,42.01,10.11,1.56,,30.24,1698.3,626.09,1072.21
540000,西藏自治区,2004,667.61,612.77,42.5,10.83,1.51,,26.17,1815.58,664.44,1151.14
540000,西藏自治区,2003,647.76,591.41,43.06,11.8,1.49,,25.22,1779.03,644.4,1134.63
