省份编码,省份,年份,农业机械总动力(万千瓦),农用大中型拖拉机数量(台),农用大中型拖拉机动力(万千瓦),小型拖拉机数量(台),小型拖拉机动力(万千瓦),大中型拖拉机配套农具(部),小型拖拉机配套农具(部),农用排灌电动机数量(台),农用排灌电动机动力(万千瓦),农用排灌柴油机数量(台),农用排灌柴油机动力(万千瓦),联合收割机数量(台),联合收割机动力(万千瓦),机动脱粒机数量(台),渔用机动船数量(艘),渔用机动船动力(万千瓦)
340000,安徽省,2009,5108.85,105000,383.79,2332400,1861.59,194600,5282700,1090200,365.62,382100,277.49,91300,363.8,394300,,
340000,安徽省,2008,4807.46,90200,311.71,2305300,1842.38,152700,5241000,1080200,356.7,371800,269.68,77700,292.18,408500,,
340000,安徽省,2007,4535.3,66670,225.25,2235600,1782.67,127706,5191930,1119259,358.9,359191,262.61,67728,240.05,458562,15893,18.97
340000,安徽省,2006,4239.93,47674,157.3202,2164524,1734.86,105347,5130858,1061979,347.69,340494,242.56,60850,212.03,493314,15144,17.88
340000,安徽省,2005,3983.83,36040,119.93,2079830,1669.06,79730,4897094,1046926,337.99,337027,239.04,48739,164.92,496077,14254,14.72
340000,安徽省,2004,3784.44,26000,89.0,2016664,1614.7,55053,4832086,1011571,323.8,327567,240.28,34153,102.77,501844,13936,14.43
340000,安徽省,2003,3544.66,20700,68.3,1924968,1538.59,43081,4259831,986571,313.05,328972,241.96,25683,71.94,517506,13663,14.15
340000,安徽省,2002,3372.11,17500,60.76,1871139,1492.61,36366,4099282,979931,301.34,325646,232.36,18223,45.53,526842,13395,13.87
340000,安徽省,2001,3164.98,16500,56.96,1756388,1383.67,38585,3716655,927851,301.66,316921,227.79,13205,31.83,521051,12583,12.08
340000,安徽省,2000,2975.87,29600,73.58,1657766,1297.74,27993,3519187,900949,294.84,314121,227.42,9499,19.55,494650,14605,13.7
350000,福建省,2019,1237.729053,5452,,84730,,3093,,,,,,10000,,99000,,
350000,福建省,2018,1228.27,5300,,87500,,2900,,,,,,10100,,97500,,
350000,福建省,2017,1232.42,4800,,91600,,6400,138600,,,100600,,9500,,96900,,
350000,福建省,2016,1269.09,4800,,97700,,5900,136900,72400,,101000,,9100,,100400,,
350000,福建省,2015,1384.13,3900,,98200,,5100,133500,71300,,101600,,8200,,108400,,
350000,福建省,2014,1368.35,3500,,99600,,4100,131700,65900,,101100,,7300,,110300,,
350000,福建省,2013,1336.76,3100,,104500,,3300,129900,65100,,102600,,7200,,108300,,
350000,福建省,2012,1286.8,2900,12.0,108200,108.89,3100,129700,62400,39.37,99000,62.03,6300,22.45,102700,,
350000,福建省,2011,1250.81,2900,12.14,111800,111.0,3100,123400,59300,37.59,96900,61.41,5300,19.24,100800,,
350000,福建省,2010,1206.1628,2603,10.4558,107739,107.0166,2674,115384,55714,36.4189,94944,59.1818,4411,15.4844,93484,,
350000,福建省,2009,1175.0092,2389,9.2369,108563,106.6835,2335,107541,55638,37.1065,92392,58.4031,3907,13.4371,87880,,
350000,福建省,2008,1112.4728,1636,5.8353,96193,93.4805,1921,91707,50951,35.6689,90673,57.7456,2717,8.684,84034,,
350000,福建省,2007,1063.08,1496,5.4,86171,79.75,880,86256,50135,35.91,90631,57.68,2337,7.05,78363,63004,222.08
350000,福建省,2006,1031.54,1471,5.31,92488.5,86.88,643,78113,49617.5,34.755,89515.5,55.89,1795,5.035,69147.5,60107,212.115
350000,福建省,2005,1000.0,1400,5.06,98806,94.01,406,69970,49100,33.6,88400,54.1,1253,3.02,59932,57210,202.15
350000,福建省,2004,981.0,1500,5.2,112486,112.0,457,63838,47508,32.0,85908,53.0,950,2.0,56271,82800,183.1
350000,福建省,2003,951.91,1602,6.37,110800,105.6,380,60970,45600,31.32,77360,49.6,810,1.41,51560,76400,173.6
350000,福建省,2002,915.84,1474,5.45,115500,108.63,447,62334,36600,28.62,71400,47.08,683,1.14,50100,76700,162.5
350000,福建省,2001,888.78,1700,16.4,151752,161.48,451,60442,33166,27.34,57646,41.34,686,1.08,47764,69000,163.7
350000,福建省,2000,873.28,1897,6.51,153250,158.67,435,58986,31845,27.75,59150,41.37,577,0.83,46512,67632,151.52
360000,江西省,2019,2470.655839,43340,,335722,,29975,,,,,,84000,,271000,,
360000,江西省,2018,2381.97,38432,,340700,,33100,,,,,,81500,,274400,,
360000,江西省,2017,2309.6,31900,,361800,,38400,348600,,,362400,,79000,,287200,,
360000,江西省,2016,2201.62,27500,,352100,,34100,340800,242900,,356400,,73700,,288000,,
360000,江西省,2015,2260.82,19600,,332000,,27600,334200,241000,,352400,,65600,,292400,,
360000,江西省,2014,2118.39,14200,,307600,,22700,314000,236000,,347500,,56600,,296100,,
360000,江西省,2013,2014.13,10200,,289800,,17400,312800,221500,,349700,,48300,,302800,,
360000,江西省,2012,4599.68,20500,66.94,533200,574.74,29000,376900,439200,362.05,821000,574.42,61900,208.29,863400,,
360000,江西省,2011,4200.03,18000,58.53,463800,486.99,23500,331200,407600,335.23,772200,537.27,50200,170.68,843400,,
360000,江西省,2010,3805.0,16600,38.49,390300,469.8,20500,286100,401000,329.48,742000,510.65,45700,157.85,931400,,
360000,江西省,2009,3358.93,15200,34.96,328400,394.08,19800,231600,339000,278.54,681400,469.49,38300,131.65,896700,,
360000,江西省,2008,2946.43,13100,30.55,286300,377.22,19300,203200,265100,254.6,650900,397.5,25800,89.18,821100,,
360000,江西省,2007,2506.32,11890,34.9,212800,230.08,18400,180400,253700,221.25,580800,372.53,21600,73.45,866300,32700,38.49
360000,江西省,2006,2137.09,11150,31.265,188800,158.19,7450,152170,214680,190.12,516680,331.87,16650,51.87,651010,29290,38.44
360000,江西省,2005,1781.26,12800,23.87,147000,119.88,7000,145900,184200,159.35,436800,300.3,12200,38.2,547800,16732,9.78
360000,江西省,2004,1465.2,9000,13.1,116300,105.57,6700,127900,160200,140.94,347100,217.16,7200,19.35,512900,16343,6.26
360000,江西省,2003,1220.52,10800,24.5,91300,83.04,5100,117300,134800,115.79,292100,181.65,3200,8.16,445700,16800,11.14
360000,江西省,2002,1111.82,9400,18.94,89000,80.95,5000,100400,105400,102.22,255000,159.19,2500,6.13,406900,24400,10.1
360000,江西省,2001,1002.04,8100,18.26,83760,76.16,4960,99590,99830,98.44,215320,150.54,1800,4.36,344970,24300,22.52
360000,江西省,2000,902.31,22700,54.0,78634,65.33,3037,105813,90423,103.74,144926,111.67,1200,3.1,253864,14023,8.98
370000,山东省,2019,10679.83695,482451,,1990859,,575041,,,,,,323000,,401000,,
370000,山东省,2018,10415.22,479401,,2012900,,584000,,,,,,315200,,396900,,
370000,山东省,2017,10144.047,604000,,1875700,,1102600,3206000,,,1789900,,305400,,394500,,
370000,山东省,2016,9797.61,571800,,1892300,,1079400,3245000,1255500,,1796500,,291100,,390800,,
370000,山东省,2015,13353.02,535200,,1909300,,1033000,3246700,1262100,,1807000,,269300,,395300,,
370000,山东省,2014,13101.4,518400,,1967200,,1008500,3305000,1259400,,1810600,,256000,,403200,,
370000,山东省,2013,12739.83,500700,,1997000,,1019400,3248100,1259800,,1810800,,234000,,405300,,
370000,山东省,2012,12419.87,476900,1688.82,2029700,1675.77,985600,3223000,1246000,851.01,1814900,1489.92,214900,737.54,400900,,
370000,山东省,2011,12098.25,454300,1580.36,2017900,1666.54,945100,3169700,1214648,840.348387,1817292,1493.24888,200962,667.979913,397528,,
370000,山东省,2010,11628.97,425700,1420.86,2016700,1658.52,878900,3128000,1214600,811.2,1801800,1470.47,180700,575.35,428700,,
370000,山东省,2009,11080.66,399300,1316.32,1968300,1616.16,812400,3012400,1165500,777.59,1838400,1504.9,158300,487.29,433200,,
370000,山东省,2008,10350.0,365500,1156.64,2003000,1647.63,659200,2924300,1099900,751.3,1791400,1462.0,131400,383.03,441500,,
370000,山东省,2007,9917.79,288376,924.87,1931012,1608.54,506704,2901595,972657,668.42,1741528,1390.9,110468,221.88,542467,51830,154.03
370000,山东省,2006,9555.28,251551,806.15,1839748,1552.61,459129,2839465,946254,650.05,1775561,1431.37,97236,189.07,609009,40553,133.95
370000,山东省,2005,9199.33,227858,720.48,1827326,1538.43,419555,2841723,919691,634.3,1777828,1427.81,81560,146.96,669499,38144,119.18
370000,山东省,2004,8751.9,211805,663.6,1760142,1485.8,383089,2694963,946505,636.4,1729423,1398.4,72955,126.2,695622,42285,136.2
370000,山东省,2003,8336.7,188553,586.7,1641632,1409.4,371590,2471959,931666,630.1,1724822,1396.0,68691,111.0,708522,44241,131.6
370000,山东省,2002,8155.63,172863,546.42,1577311,1347.36,353865,2373388,912624,644.46,1895906,1538.99,61979,88.31,736662,47148,127.0
370000,山东省,2001,7689.57,157900,498.72,1553801,1299.03,304476,2281725,879103,602.77,1875264,1518.36,55668,74.79,746602,46992,127.15
370000,山东省,2000,7025.24,140529,451.16,1442665,1164.08,276967,2148446,826969,568.17,1726906,1408.18,51594,63.93,744012,42736,117.93
410000,河南省,2019,10356.972186,373074,,3139675,,654206,,,,,,295000,,505000,,
410000,河南省,2018,10204.46,353481,,3184500,,631900,,,,,,287700,,517500,,
410000,河南省,2017,10038.32,458500,,3175400,,1052000,6286900,,,519900,,278400,,527100,,
410000,河南省,2016,9854.96,432700,,3295000,,1007400,6415000,1135200,,526200,,265500,,540800,,
410000,河南省,2015,11710.08,402300,,3396200,,948300,6613700,1133600,,541000,,241500,,545900,,
410000,河南省,2014,11476.81,378100,,3462600,,896100,6709900,1129600,,545800,,221300,,546400,,
410000,河南省,2013,11149.96,357800,,3513200,,849900,6752100,1100500,,546800,,200200,,546100,,
410000,河南省,2012,10872.73,338500,1283.47,3539400,3830.16,802200,6798700,1093600,642.12,547300,529.14,177100,880.25,536700,,
410000,河南省,2011,10515.79,310700,1129.08,3557600,3721.7,732000,6734600,1086100,637.09,539800,527.3,157800,769.96,542300,,
410000,河南省,2010,10195.8854,274445,969.547,3586100,3797.5,642550,6664200,1060600,622.25,539950,525.504,143760,671.928,557280,,
410000,河南省,2009,9817.843,246921,816.836,3655300,3806.1,582510,6608400,1038700,604.6,543400,519.9,124326,561.91,561540,,
410000,河南省,2008,9429.2658,202608,693.216,3636700,3775.0,431570,6395200,1022300,592.02,509640,501.771,102530,431.032,573890,,
410000,河南省,2007,8718.71,149400,532.81,3239700,3422.0,313400,6023100,997900,556.79,542600,516.7,93200,355.8,618000,871,1.37
410000,河南省,2006,8309.13,127730,437.04,3095800,3266.55,268370,5689350,983630,540.65,540390,520.53,84840,307.77,674810,860,1.23
410000,河南省,2005,7934.23,110840,366.33,2984520,3119.77,239910,5346690,954850,530.11,533370,518.28,71750,251.67,703930,859,1.22
410000,河南省,2004,7521.12,97000,435.0,2828600,2943.62,189210,4967100,931700,513.05,550200,519.27,65960,229.55,717100,850,1.2
410000,河南省,2003,6953.17,87200,285.44,2598500,2717.94,169500,4555000,928700,510.56,518700,488.3,59300,193.21,747100,801,0.99
410000,河南省,2002,6548.21,78440,254.07,2492180,2592.44,145860,4188460,922830,502.02,508410,496.32,36600,116.58,753820,850,1.05
410000,河南省,2001,6078.69,69500,226.89,2365300,2451.69,122290,3806300,849720,479.09,497890,479.46,31300,94.87,942700,901,1.13
410000,河南省,2000,5780.58,66200,216.76,2246700,2317.71,118700,3573200,780600,447.2,475200,458.72,26900,75.49,791500,966,1.15
420000,湖北省,2019,4515.73186,172217,,1149387,,183370,,,,,,106000,,448000,,
420000,湖北省,2018,4424.61,161732,,1164900,,184000,,,,,,102000,,406000,,
420000,湖北省,2017,4335.09,189700,,1151200,,405500,2231000,,,255400,,99400,,369500,,
420000,湖北省,2016,4187.75,181800,,1146700,,395400,2234100,759500,,259600,,95700,,378200,,
420000,湖北省,2015,4468.12,168400,,1138100,,371300,2224400,737300,,264400,,88700,,352100,,
420000,湖北省,2014,4292.9,158500,,1129800,,318000,2230100,708100,,267100,,81400,,320300,,
420000,湖北省,2013,4081.05,149400,,1141200,,280000,2154200,698100,,262000,,73800,,264300,,
420000,湖北省,2012,3842.16,138400,489.13,1115600,801.16,257400,2145100,645000,434.1,253700,224.38,66900,287.21,242800,,
420000,湖北省,2011,3571.2286,130774,439.001462,1064835,745.720343,240134,2119683,627940,444.6666,256181,228.8301,55407,232.8423,0,,
420000,湖北省,2010,3371.0,127100,412.07,991000,697.69,214900,2046500,601600,438.18,250900,225.73,50800,207.58,180900,,
420000,湖北省,2009,3057.24,118600,358.4,908300,640.45,203700,1785500,553400,386.76,239200,207.41,41900,166.87,153700,,
420000,湖北省,2008,2796.99,104200,302.82,852300,598.21,154900,1697000,524300,369.97,208600,189.27,35000,140.74,130000,,
420000,湖北省,2007,2551.08,92952,248.76,741190,523.23,129617,1490826,452600,347.98,220290,193.34,29803,110.11,131363,16191,8.92
420000,湖北省,2006,2263.15,85002,221.99,556932,405.73,111779,1110204,431699,339.39,216179,188.47,22407,79.49,125437,15915,8.4
420000,湖北省,2005,2057.37,76644,182.02,483915,352.62,93583,966928,285278,325.91,205993,190.45,16085,56.01,143302,15560,8.45
420000,湖北省,2004,1763.61,68263,153.96,320850,240.16,74521,593063,240629,313.11,209425,170.24,10585,33.46,128757,16981,7.33
420000,湖北省,2003,1661.75,65925,144.6,282271,204.28,62133,490320,204368,306.79,197207,159.32,6708,20.38,126199,13128,7.46
420000,湖北省,2002,1557.43,66439,141.31,266834,191.87,59749,464409,197483,300.17,199892,160.64,5722,13.64,128117,13237,6.58
420000,湖北省,2001,1469.24,65800,138.61,248788,181.59,52214,411182,176377,292.26,197913,156.29,3363,7.95,127907,12845,6.46
420000,湖北省,2000,1414.02,68163,143.83,236342,174.16,48135,374763,167993,284.3,185708,148.56,2704,6.29,122513,12557,6.16
430000,湖南省,2019,6471.815217,117062,,239862,,42133,,,,,,131000,,1142000,,
430000,湖南省,2018,6338.57,112742,,284300,,42600,,,,,,129600,,1189000,,
430000,湖南省,2017,6254.83,141000,,290200,,70400,125100,,,1348000,,128400,,1194000,,
430000,湖南省,2016,6097.5419,135700,,254900,,63600,123600,1139900,,1349200,,125200,,1260500,,
430000,湖南省,2015,5894.06,128800,,243600,,56000,116200,1122500,,1333200,,113700,,1278600,,
430000,湖南省,2014,5672.1,116300,,235600,,47300,112300,1102500,,1318200,,101800,,1280900,,
430000,湖南省,2013,5433.99,106600,,227500,,41600,108000,1067800,,1300900,,93100,,1281700,,
430000,湖南省,2012,5189.24,97300,292.45,219600,236.46,35800,104500,956000,352.14,1301400,635.72,84700,291.45,1274300,,
430000,湖南省,2011,4935.58877,88998,257.823359,214963,225.881278,32504,105156,900045,336.791112,1276589,625.197472,76480,257.784375,1327741,,
430000,湖南省,2010,4651.54,84770,247.6568,198600,207.69,27700,97100,863600,316.97,1261200,605.83,68916,235.76,1274600,,
430000,湖南省,2009,4352.39,75300,221.98,184700,189.13,22700,81600,780600,287.86,1195300,531.93,59519,201.4283,1235700,,
430000,湖南省,2008,4021.1377,67501,199.0361,174768,176.1703,17357,73398,704500,271.95,1169100,550.74,44008,139.7158,1188800,,
430000,湖南省,2007,3684.43,24500,78.9,188235,189.1931,13972,78033,612781,263.0,1059437,484.7,36206,111.8,1186447,17013,8.84
430000,湖南省,2006,3437.145,19700,117.08,178486.5,179.34155,10347,58462.5,576699,255.285,1013727,464.275,28809,85.855,1170385.5,16713.5,8.465
430000,湖南省,2005,3189.86,8820,27.87,168738,169.49,6722,38892,540617,247.57,968017,443.85,21412,59.91,1154324,16414,8.09
430000,湖南省,2004,2923.92,7200,25.2,163833,156.99,7321,42453,524401,246.83,932381,433.97,14908,37.97,1171126,13907,6.46
430000,湖南省,2003,2664.45,6000,17.0,175603,167.27,6827,49199,483897,231.88,871023,415.28,9616,21.0,1111167,21755,26.83
430000,湖南省,2002,2498.09,6100,21.42,192762,178.5179,6604,47567,453107,218.7119,814927,394.5954,7021,12.73,1074217,13949,6.78
430000,湖南省,2001,2358.02,4200,17.13,205585,189.9,5151,48793,421942,216.31,786497,368.69,4925,8.59,1018221,13457,6.38
430000,湖南省,2000,2209.74,15100,38.12,209271,191.61,6428,63865,404862,211.61,742261,350.9,2649,3.6,1054082,12216,5.75
440000,广东省,2019,2455.7896,25021,,317644,,21224,,,,,,29000,,537000,,
440000,广东省,2018,2429.94,24465,,320470,,20600,,,,,,28000,,545768,,
440000,广东省,2017,2410.77,30400,,319800,,46500,363500,,,449300,,27700,,547300,,
440000,广东省,2016,2390.4981,30011,,328049,,45700,371900,377399,,452071,,26796,,544900,,
440000,广东省,2015,2696.79,28700,,329600,,44500,376600,369800,,451900,,25600,,535600,,
440000,广东省,2014,2632.37,28100,,333300,,34700,368000,364100,,442400,,23900,,529500,,
440000,广东省,2013,2564.8905,23900,,329200,,34800,357900,349700,,438700,,22800,,532700,,
440000,广东省,2012,2496.68,22500,91.1,327300,280.53,32800,367300,347600,189.4,417800,245.69,20800,57.77,550800,,
440000,广东省,2011,2414.82,19600,79.33,345900,292.0,27500,384000,339500,192.47,404500,241.26,19000,51.48,565900,,
440000,广东省,2010,2345.28,18400,73.23,371200,304.17,27200,412600,341500,189.52,365700,220.54,18200,48.14,569700,,
440000,广东省,2009,2190.177,16059,63.2683,357039,291.725,23832,392914,326976,179.6367,341176,206.9634,16088,40.3853,563192,,
440000,广东省,2008,2093.91,13600,58.02,355100,294.49,21300,372700,319200,180.46,352400,202.1,13994,33.2016,539800,,
440000,广东省,2007,1847.2315,12367,37.6284,317898,250.9803,9083,303401,266466,149.4528,234348,131.716,6843,16.3601,544383,68185,213.5794
440000,广东省,2006,1814.66075,9133.5,32.0492,334949,265.09015,8441.5,307874,262519,147.0164,231621.5,128.623,6166.5,14.82005,523577,68138.5,216.8547
440000,广东省,2005,1782.09,5900,26.47,352000,279.2,7800,312347,258572,144.58,228895,125.53,5490,13.28,502771,68092,220.13
440000,广东省,2004,1798.73,4500,17.8,323850,253.6,8200,313569,247309,131.02,210527,122.26,4344,10.21,502084,67201,227.95
440000,广东省,2003,1788.8,4600,18.9,320129,254.29,7382,295026,214734,121.79,199829,117.43,2881,6.97,467429,67988,223.54
440000,广东省,2002,1779.36,4100,16.34,328006,250.76,7420,282500,236836,122.72,198057,117.54,2869,6.37,450713,68817,219.36
440000,广东省,2001,1760.18,4000,14.93,331323,255.6366,5736,271055,287699,120.0708,185091,106.7017,3100,6.5312,426839,72128,222.1933
440000,广东省,2000,1763.8563,6746,24.4352,335452,261.6899,3541,266809,230644,124.623,162550,101.3953,2591,5.6169,394418,68272,237.2624
450000,广西壮族自治区,2019,3840.0371,53824,,529960,,31155,,,,,,36000,,999000,,
450000,广西壮族自治区,2018,3750.82,50800,,517800,,30400,,,,,,35600,,993300,,
450000,广西壮族自治区,2017,3658.33,51900,,511800,,75600,694200,,,561400,,34300,,975000,,
450000,广西壮族自治区,2016,3527.26,47700,,506500,,73700,712200,317200,,541300,,32900,,963700,,
450000,广西壮族自治区,2015,3803.18,42400,,486000,,65300,691600,306100,,527400,,30400,,951500,,
450000,广西壮族自治区,2014,3567.49,37900,,469800,,54400,575500,284600,,506700,,26700,,942400,,
450000,广西壮族自治区,2013,3382.98,34200,,456800,,50600,538900,271600,,491300,,24200,,912700,,
450000,广西壮族自治区,2012,3195.91,30500,132.83,425800,392.1,45200,587900,268700,91.66,484800,239.24,22200,69.33,885400,,
450000,广西壮族自治区,2011,3033.147,26850,115.8812,397222,355.3691,39129,524241,318101,112.7678,504347,253.1671,19609,55.9443,849724,,
450000,广西壮族自治区,2010,2767.6705,21680,96.429,357700,316.94,33400,473800,249300,83.12,453200,222.61,17000,47.119,798400,,
450000,广西壮族自治区,2009,2550.9337,19590,82.616,325600,283.27,27850,460600,234460,76.6,438400,218.35,13100,35.437,752480,,
450000,广西壮族自治区,2008,2373.56,17100,72.18,297000,254.94,25000,423600,198900,74.15,421600,215.37,8298,20.93,692300,,
450000,广西壮族自治区,2007,2127.1988,14155,59.232,288440,250.9109,21769,750854,192041,70.1975,394486,185.8472,4728,12.8899,654462,14565,53.5216
450000,广西壮族自治区,2006,2011.0342,17241,60.3694,280238,240.8319,18313,704835,181145,67.4791,373016,174.7443,2211,5.9381,616470,13959,49.2747
450000,广西壮族自治区,2005,1909.65,16950,57.64,344382,265.32,15273,675032,165743,68.19,348010,168.07,1114,2.49,619593,13971,48.72
450000,广西壮族自治区,2004,1814.34,17960,56.4,347100,270.67,13923,625310,145165,62.85,313280,157.42,671,1.49,505029,13614,45.89
450000,广西壮族自治区,2003,1696.3,23200,62.7,324590,265.87,12816,565104,119119,56.98,263127,133.25,485,1.03,388159,13435,47.81
450000,广西壮族自治区,2002,1639.54,16300,50.38,227785,224.42,11323,528142,103004,54.7,250073,127.37,445,0.93,322852,13785,48.8
450000,广西壮族自治区,2001,1552.36,14400,46.75,235666,234.67,9814,469608,90195,52.09,232500,118.46,386,0.79,267945,13391,44.59
450000,广西壮族自治区,2000,1467.94,64100,123.12,261001,265.96,9091,391992,83900,51.09,211931,108.9,329,0.64,241709,13294,44.57
460000,海南省,2019,581.231644,20990,,63788,,13901,,,,,,5000,,46000,,
460000,海南省,2018,565.82,20355,,67100,,15000,,,,,,5300,,49800,,
460000,海南省,2017,569.8,35200,,64500,,15600,67200,,,215400,,5300,,47300,,
460000,海南省,2016,516.5693,41935,,56400,,17100,62700,61128,,187156,,8212,,45369,,
460000,海南省,2015,511.59,43700,,57800,,18200,52000,45800,,156200,,4200,,44600,,
460000,海南省,2014,517.31,44900,,63000,,16400,53800,45000,,182500,,4500,,44900,,
460000,海南省,2013,502.1,44500,,52700,,15800,49800,38000,,182500,,4500,,44900,,
460000,海南省,2012,479.66,41000,95.21,50200,47.82,14800,48400,36200,20.71,178500,81.98,4200,9.94,44400,,
460000,海南省,2011,444.33,34600,82.09,49600,48.8,13600,42300,36000,14.19,173000,79.83,3700,8.71,33200,,
460000,海南省,2010,425.24,29800,68.8,49700,49.11,12700,37200,33800,12.06,169300,78.29,3400,7.97,39600,,
460000,海南省,2009,396.07,24500,57.29,49200,47.69,11300,32500,32700,11.32,161700,74.17,2700,6.2,33800,,
460000,海南省,2008,373.06,17600,44.75,49600,49.55,10700,44000,31500,11.08,155900,67.59,2200,4.97,36600,,
460000,海南省,2007,328.53,5841,18.07,40403,39.29,3689,27190,10726,17.51,132964,58.39,1218,3.95,41606,20871,71.38
460000,海南省,2006,298.36845,5820.5,19.24,37411,36.4187,3167,18145,7599,13.03,113306.5,51.2069,936.5,3.781425,40074.5,20403,62.1018
460000,海南省,2005,268.2069,5800,20.41,34419,33.5474,2645,9100,4472,8.55,93649,44.0238,655,3.61285,38543,19935,52.8236
460000,海南省,2004,243.94,4835,13.51,28472,26.96,2322,7073,4221,5.53,86092,39.05,482,3.22,37913,26717,52.15
460000,海南省,2003,221.62,4547,12.2,32128,24.7,2209,5369,3066,1.88,75574,34.16,244,2.48,27837,16607,54.67
460000,海南省,2002,210.23,3100,12.79,27716,25.92,1828,4418,2281,1.7,69679,31.5,189,2.94,25254,16699,53.09
460000,海南省,2001,212.16,3100,11.99,28534,24.93,1760,3694,1914,1.63,64596,29.4,187,2.77,24007,16093,51.49
460000,海南省,2000,200.86,2573,9.67,29931,25.08,1744,3991,1767,1.38,61504,26.35,155,1.26,23492,17421,46.34
500000,重庆市,2019,1464.6672625,2090,,4644,,2013,,,,,,11000,,745000,,
500000,重庆市,2018,1428.12,2025,,4800,,1800,,,,,,10900,,725100,,
500000,重庆市,2017,1352.6,5200,,8900,,3800,4200,,,150800,,10800,,711700,,
500000,重庆市,2016,1318.66,5000,,8900,,3400,4000,774700,,158800,,10000,,754700,,
500000,重庆市,2015,1299.73,4100,,8400,,3200,3700,772700,,140600,,8300,,749500,,
500000,重庆市,2014,1243.34,3800,,8000,,3100,3500,768600,,138700,,7100,,741500,,
500000,重庆市,2013,1198.88,3800,,7800,,3000,3200,759500,,143700,,5800,,631100,,
500000,重庆市,2012,1162.0,3700,11.64,7700,9.25,2900,2600,751000,112.65,146200,74.59,4500,9.62,618600,,
500000,重庆市,2011,1140.3,3600,11.46,7659,9.2,2900,2600,745000,119.72,146000,74.32,3748,9.26,616000,,
500000,重庆市,2010,1071.09,3300,10.06,6800,8.78,2500,2400,714000,114.95,123900,66.92,3110,8.07,607700,,
500000,重庆市,2009,967.41,2800,9.72,6800,8.84,1600,2200,665000,107.16,112600,60.8,2190,5.69,567600,,
500000,重庆市,2008,903.15,2600,8.96,6900,8.97,1100,2100,621200,93.18,95000,51.3,900,2.31,543000,,
500000,重庆市,2007,860.31,2252,6.89,6819,8.84,1282,4523,491512,88.4,85013,45.94,466,1.82,468200,5380,3.23
500000,重庆市,2006,820.01,604,2.21,4315,6.26,1145,1846,458756,81.53,75387,44.56,289,0.86,358907,0,0.0
500000,重庆市,2005,775.96,104,0.52,3910,5.47,156,1955,422680,77.83,72261,43.78,159,0.45,277600,5640,2.72
500000,重庆市,2004,728.31,2651,6.56,8403,10.67,1181,4224,377416,67.77,77908,47.3,89,0.21,247597,5380,3.23
500000,重庆市,2003,695.67,2868,7.35,9300,11.06,1600,6000,291800,59.69,74100,46.48,60,0.2,198900,2000,1.26
500000,重庆市,2002,665.57,2500,5.81,10000,11.71,700,6000,235500,53.79,72900,45.65,60,0.15,189900,2000,1.26
500000,重庆市,2001,628.07,1400,3.83,12100,13.59,600,6000,205200,52.48,65900,41.11,50,0.7,155300,1800,1.12
500000,重庆市,2000,586.47,10100,20.56,14900,16.62,500,6000,174000,46.41,58782,38.8,51,0.08,124711,1739,1.0
510000,四川省,2019,4682.2981149,74408,,150019,,24015,,,,,,37000,,1702000,,
510000,四川省,2018,4603.8834,74365,,153400,,23400,,,,,,37300,,1688200,,
510000,四川省,2017,4420.3,134100,,96900,,68700,106900,,,539400,,36000,,1696500,,
510000,四川省,2016,4267.32,134800,,100600,,64900,108200,402000,,524400,,34700,,1731100,,
510000,四川省,2015,4404.5476,132200,,104500,,60200,107000,398300,,529000,,29400,,1728300,,
510000,四川省,2014,4160.12,126100,,113600,,53200,106700,379600,,505800,,26100,,1605600,,
510000,四川省,2013,3953.09,121800,,119100,,50400,113300,307300,,499600,,22500,,1352500,,
510000,四川省,2012,3694.03,115000,267.45,125500,141.66,44300,118500,281100,194.49,487700,295.16,18500,60.93,1266500,,
510000,四川省,2011,3426.1,107500,246.51,124700,147.99,39000,122900,117500,167.78,470200,283.34,14100,50.16,1158500,,
510000,四川省,2010,3155.13,91100,206.01,120300,147.37,31900,113500,113800,167.53,448100,268.48,12005,42.06,1076200,,
510000,四川省,2009,2952.66,77700,179.11,118400,147.96,26000,106100,114000,163.4,441900,258.08,9962,35.409,1032800,,
510000,四川省,2008,2687.549,55500,122.75,114310,143.108,20160,103280,100770,157.378,411200,252.318,8500,30.684,961360,,
510000,四川省,2007,2523.05,20151,49.81,133530,171.61,12889,135016,93694,149.42,405894,250.23,7621,23.61,799967,0,0.0
510000,四川省,2006,2344.87,15926,40.74,128337,161.15,9794,137877,81615,146.45,387587,235.19,6831,19.74,726148,0,0.0
510000,四川省,2005,2181.7,12728,35.18,124783,155.94,12622,98575,83893,142.4,373961,229.94,5830,14.56,698735,10300,4.2
510000,四川省,2004,2006.78,9100,26.98,125900,151.29,8300,106900,85000,140.04,336100,207.89,5400,10.29,557000,10300,4.2
510000,四川省,2003,1891.06,4700,16.7,122469,141.09,8802,112357,89242,138.97,310430,187.4,4719,8.28,455971,7300,3.7
510000,四川省,2002,1803.68,10300,24.78,130906,150.99,7182,112543,83608,141.74,302275,186.49,4100,5.55,458186,7900,4.5
510000,四川省,2001,1735.1,6000,17.77,130558,148.74,8859,115832,90092,137.78,270535,176.56,3587,3.6,404369,8000,3.6
510000,四川省,2000,1679.68,29600,74.59,132898,149.22,7866,94905,80726,132.13,272194,158.16,3258,2.55,382549,5900,1.0
520000,贵州省,2019,2484.6015,18527,,124137,,1729,,,,,,3000,,787000,,
