省份编码,省份,年份,批发业法人企业单位数(个),批发业年末从业人数(人),批发业商品购进总额(亿元),批发业进口额(亿元),批发业商品销售总额(亿元),批发业出口额(亿元),批发业商品库存总额(亿元)
460000,海南省,2009,259,12186,461.1,15.0,517.5,14.1,29.9
460000,海南省,2008,293,12296,470.4,,532.0,,38.6
460000,海南省,2007,149,7164,,,,,
460000,海南省,2006,165,9567,,,,,
460000,海南省,2005,173,10772,,,,,
460000,海南省,2004,181,7320,,,,,
460000,海南省,2003,87,5873,,,,,
460000,海南省,2002,94,6037,,,,,
460000,海南省,2001,71,3797,,,,,
460000,海南省,2000,68,5832,,,,,
500000,重庆市,2019,2420,106144,9367.0249,532.154,10416.1913,186.4804,557.9753
500000,重庆市,2018,2289,103311,8675.1,387.6,9676.5,266.2,349.4
500000,重庆市,2017,2406,107858,7275.4959,348.5617,8143.4378,183.4235,368.0646
500000,重庆市,2016,2423,116553,7050.731,263.576,7999.1622,246.8848,366.8671
500000,重庆市,2015,2368,127596,6170.0156,169.9838,6835.6852,272.4441,366.6637
500000,重庆市,2014,2311,127411,6009.2689,226.3816,6501.613,198.8936,1091.1355
500000,重庆市,2013,2097,119843,6454.72243,158.97324,6903.11077,126.00333,380.96935
500000,重庆市,2012,1732,104372,5596.3,100.5,5956.5,140.8,349.5
500000,重庆市,2011,1623,102108,5064.1,100.3,5790.7,225.4,273.8
500000,重庆市,2010,1341,102453,3802.1,32.6,4132.1,88.5,215.8
500000,重庆市,2009,1104,85729,2561.4,41.7,2864.0,55.5,165.4
500000,重庆市,2008,1017,73145,1867.1,,2118.1,,121.8
500000,重庆市,2007,475,61256,,,,,
500000,重庆市,2006,447,61227,,,,,
500000,重庆市,2005,479,60848,,,,,
500000,重庆市,2004,501,42965,,,,,
500000,重庆市,2003,286,51267,,,,,
500000,重庆市,2002,246,48686,,,,,
500000,重庆市,2001,234,36689,,,,,
500000,重庆市,2000,231,39507,,,,,
510000,四川省,2019,3316,168574,11131.8409,161.2452,12388.0475,142.3439,687.4323
510000,四川省,2018,2545,153857,8960.0,158.0,9522.5,147.5,516.6
510000,四川省,2017,2307,150494,7344.9988,113.3083,8211.5244,118.6429,473.2689
510000,四川省,2016,2331,151524,6694.1665,150.4158,7437.9126,139.688,458.4287
510000,四川省,2015,2292,154078,6057.1428,113.6784,6789.1792,145.5165,459.0767
510000,四川省,2014,2421,159482,7779.2595,439.4235,8575.3448,267.8221,532.2068
510000,四川省,2013,2201,144586,6012.65314,83.90965,6676.3416,118.09037,492.67522
510000,四川省,2012,1949,132644,5574.2,93.9,6003.7,140.6,488.3
510000,四川省,2011,1724,85983,4021.7,136.1,4831.6,135.1,489.4
510000,四川省,2010,1134,101525,2823.9,45.5,3325.3,130.6,275.8
510000,四川省,2009,853,79856,2135.0,40.5,2570.6,85.6,193.2
510000,四川省,2008,1202,84880,2321.3,,2924.7,,244.8
510000,四川省,2007,450,69965,,,,,
510000,四川省,2006,451,63700,,,,,
510000,四川省,2005,475,63269,,,,,
510000,四川省,2004,589,67192,,,,,
510000,四川省,2003,327,48491,,,,,
510000,四川省,2002,341,51759,,,,,
510000,四川省,2001,372,58281,,,,,
510000,四川省,2000,421,68190,,,,,
520000,贵州省,2019,1332,62506,3275.063,31.9233,4542.7367,62.2523,288.0065
520000,贵州省,2018,1232,65559,2843.0,18.3,3899.8,77.1,231.9
520000,贵州省,2017,1067,62036,3031.4729,8.3534,3808.2638,105.5063,225.6804
520000,贵州省,2016,822,57390,2347.6277,11.3356,3243.0659,61.7174,270.8529
520000,贵州省,2015,778,56699,2306.8682,28.0824,3182.4039,67.3744,239.4597
520000,贵州省,2014,780,57986,2042.786,103.898,2750.5212,110.2494,230.4691
520000,贵州省,2013,640,51442,1878.97489,126.39361,2391.8861,162.26681,223.2259
520000,贵州省,2012,487,51372,1419.3,86.9,1908.0,126.7,175.8
520000,贵州省,2011,347,45204,1134.9,19.4,1324.8,67.8,128.4
520000,贵州省,2010,306,41066,776.7,11.5,1095.3,13.6,93.5
520000,贵州省,2009,283,38332,575.1,6.0,825.8,10.9,80.4
520000,贵州省,2008,348,41811,580.9,,816.4,,83.8
520000,贵州省,2007,143,38040,,,,,
520000,贵州省,2006,145,24217,,,,,
520000,贵州省,2005,151,27874,,,,,
520000,贵州省,2004,202,36231,,,,,
520000,贵州省,2003,152,26899,,,,,
520000,贵州省,2002,150,26568,,,,,
520000,贵州省,2001,155,26407,,,,,
520000,贵州省,2000,158,26247,,,,,
530000,云南省,2019,1380,80258,8036.5392,363.6988,9249.518,327.9814,548.4841
530000,云南省,2018,1270,80511,7153.8,224.6,8058.7,255.8,508.4
530000,云南省,2017,1100,78607,5977.0146,308.5556,6853.2388,252.7111,522.6655
530000,云南省,2016,1055,76930,5315.8611,194.3175,6331.565,214.6677,566.0374
530000,云南省,2015,1076,77416,4584.2718,190.4172,5227.9143,252.103,584.7298
530000,云南省,2014,1194,81735,5518.9478,381.8971,6420.1652,330.321,618.2272
530000,云南省,2013,1177,81128,4959.58341,316.69144,5703.82797,190.61504,555.65258
530000,云南省,2012,1110,80661,4789.8,145.9,5279.1,211.0,582.3
530000,云南省,2011,944,67184,3529.2,148.9,4000.7,159.2,478.2
530000,云南省,2010,897,73959,2804.4,158.4,3300.9,109.1,594.5
530000,云南省,2009,824,73014,2097.0,43.8,2591.0,78.0,470.4
530000,云南省,2008,871,70739,2269.5,,2543.3,,391.3
530000,云南省,2007,601,69540,,,,,
530000,云南省,2006,697,68570,,,,,
530000,云南省,2005,689,63061,,,,,
530000,云南省,2004,742,65252,,,,,
530000,云南省,2003,497,53354,,,,,
530000,云南省,2002,456,52956,,,,,
530000,云南省,2001,464,54120,,,,,
530000,云南省,2000,568,71801,,,,,
540000,西藏自治区,2019,47,6400,158.8916,,252.4379,,24.2812
540000,西藏自治区,2018,26,4071,83.0,,117.0,,15.4
540000,西藏自治区,2017,24,3491,77.9194,0.6005,108.6938,,10.6004
540000,西藏自治区,2016,24,4124,69.8166,,107.793,,59.9012
540000,西藏自治区,2015,23,5651,71.0736,0.0025,104.748,,10.0906
540000,西藏自治区,2014,22,4779,72.0306,0.005,111.227,,8.4872
540000,西藏自治区,2013,18,3152,53.91031,,86.73244,,8.06201
540000,西藏自治区,2012,16,1602,36.6,,49.6,,5.8
540000,西藏自治区,2011,12,2754,33.3,,42.0,,4.1
540000,西藏自治区,2010,14,2082,26.3,,40.4,,3.3
540000,西藏自治区,2009,14,2248,25.0,1.8,33.2,0.5,4.2
540000,西藏自治区,2008,15,1646,11.4,,27.4,,3.1
540000,西藏自治区,2007,12,1313,,,,,
540000,西藏自治区,2006,14,1841,,,,,
540000,西藏自治区,2005,12,1429,,,,,
540000,西藏自治区,2004,13,1522,,,,,
540000,西藏自治区,2003,12,1136,,,,,
540000,西藏自治区,2002,8,861,,,,,
540000,西藏自治区,2001,9,884,,,,,
540000,西藏自治区,2000,8,936,,,,,
610000,陕西省,2019,1841,93347,11519.8478,669.5929,12550.7749,722.0476,397.3818
610000,陕西省,2018,1351,84950,9247.4,701.0,10153.4,729.6,231.9
610000,陕西省,2017,1184,91787,7766.4589,25.685,9129.205,91.7079,266.6598
610000,陕西省,2016,1047,80573,4684.5082,16.0546,5754.8247,105.0927,227.9735
610000,陕西省,2015,912,79589,4667.2045,26.1167,5251.4933,86.5273,189.5772
610000,陕西省,2014,864,84310,5259.8228,301.316,5563.0081,90.5053,239.7182
610000,陕西省,2013,700,77561,5039.99111,234.46413,5375.38659,74.22733,176.11155
610000,陕西省,2012,571,69059,4485.2,19.0,4810.0,92.2,208.4
610000,陕西省,2011,469,60380,3781.5,67.8,4105.6,86.4,158.5
610000,陕西省,2010,407,62204,2476.4,50.3,3024.0,43.4,170.6
610000,陕西省,2009,331,43227,1664.6,32.7,1956.2,70.4,94.0
610000,陕西省,2008,324,43275,1234.2,,1808.6,,157.6
610000,陕西省,2007,215,41847,,,,,
610000,陕西省,2006,226,52591,,,,,
610000,陕西省,2005,268,43839,,,,,
610000,陕西省,2004,402,38571,,,,,
610000,陕西省,2003,197,28872,,,,,
610000,陕西省,2002,218,29562,,,,,
610000,陕西省,2001,232,33415,,,,,
610000,陕西省,2000,257,37448,,,,,
620000,甘肃省,2019,737,37365,4699.9478,26.2872,5025.4202,15.5108,248.2846
620000,甘肃省,2018,636,33584,4071.7,14.6,4451.2,24.4,205.7
620000,甘肃省,2017,630,32028,3346.4793,17.4139,3525.2131,19.639,196.889
620000,甘肃省,2016,599,31821,3186.5896,27.5538,3613.9809,24.3088,169.0701
620000,甘肃省,2015,574,30977,2824.7688,12.2937,3349.9837,21.2766,158.9323
620000,甘肃省,2014,573,31000,3062.6074,13.1478,3527.2715,21.2819,191.5567
620000,甘肃省,2013,510,29953,2328.70765,2.12673,3040.5,10.16912,193.21845
620000,甘肃省,2012,416,26914,2269.2,,2509.2,9.0,182.5
620000,甘肃省,2011,295,23646,1928.7,0.8,2116.8,5.5,168.3
620000,甘肃省,2010,265,22404,1391.3,1.0,1645.0,4.0,161.3
620000,甘肃省,2009,237,20543,1111.1,3.2,1205.8,4.8,141.3
620000,甘肃省,2008,256,23092,1300.3,,1364.5,,124.3
620000,甘肃省,2007,206,19188,,,,,
620000,甘肃省,2006,229,19241,,,,,
620000,甘肃省,2005,302,24792,,,,,
620000,甘肃省,2004,331,30818,,,,,
620000,甘肃省,2003,180,18087,,,,,
620000,甘肃省,2002,173,20562,,,,,
620000,甘肃省,2001,148,22059,,,,,
620000,甘肃省,2000,148,25987,,,,,
630000,青海省,2019,198,12900,842.658,8.9735,974.4391,8.608,39.5706
630000,青海省,2018,130,8289,610.0,0.9,724.8,1.8,22.8
630000,青海省,2017,145,11598,763.6645,2.7,1012.088,5.3657,40.519
630000,青海省,2016,148,11566,695.542,2.5501,915.8634,5.3739,38.9722
630000,青海省,2015,142,11636,720.1374,0.1192,831.4169,7.8495,34.0282
630000,青海省,2014,142,11570,999.5183,0.7529,1099.6111,10.4966,41.7886
630000,青海省,2013,127,11484,1116.15313,,1169.47564,9.5082,62.02856
630000,青海省,2012,104,10230,842.9,,954.2,8.3,41.4
630000,青海省,2011,86,8983,424.0,,558.7,7.8,25.6
630000,青海省,2010,82,7283,241.8,11.7,320.2,15.4,31.8
630000,青海省,2009,71,8009,141.5,1.2,184.2,3.0,12.4
630000,青海省,2008,103,8470,202.9,,222.4,,27.9
630000,青海省,2007,56,7145,,,,,
630000,青海省,2006,63,6768,,,,,
630000,青海省,2005,56,6117,,,,,
630000,青海省,2004,72,7303,,,,,
630000,青海省,2003,32,6400,,,,,
630000,青海省,2002,36,7324,,,,,
630000,青海省,2001,45,6456,,,,,
630000,青海省,2000,55,9457,,,,,
640000,宁夏回族自治区,2019,236,12846,1519.2959,4.7728,1512.122,4.5626,47.4534
640000,宁夏回族自治区,2018,186,11406,1412.7,8.7,1440.8,1.8,58.7
640000,宁夏回族自治区,2017,175,10951,1200.6532,4.3768,1210.3948,2.7527,71.8141
640000,宁夏回族自治区,2016,161,10315,805.971,2.8541,871.5441,0.6441,45.2688
640000,宁夏回族自治区,2015,168,10051,736.5125,34.0527,743.2661,1.1684,28.987
640000,宁夏回族自治区,2014,196,11100,805.8994,3.4452,848.4993,3.5156,40.7328
640000,宁夏回族自治区,2013,192,10768,703.55272,6.83558,759.23661,4.53526,37.28006
640000,宁夏回族自治区,2012,196,10574,699.9,6.5,711.7,4.5,47.3
640000,宁夏回族自治区,2011,193,10704,575.6,4.8,576.3,5.3,47.0
640000,宁夏回族自治区,2010,185,12480,432.2,5.2,462.3,8.5,30.8
640000,宁夏回族自治区,2009,181,9781,324.2,0.1,373.6,6.1,24.9
640000,宁夏回族自治区,2008,178,8423,328.1,,356.2,,19.8
640000,宁夏回族自治区,2007,155,9152,,,,,
640000,宁夏回族自治区,2006,157,9695,,,,,
640000,宁夏回族自治区,2005,174,9349,,,,,
640000,宁夏回族自治区,2004,202,10312,,,,,
640000,宁夏回族自治区,2003,61,7019,,,,,
640000,宁夏回族自治区,2002,62,4544,,,,,
640000,宁夏回族自治区,2001,62,5191,,,,,
640000,宁夏回族自治区,2000,69,5988,,,,,
650000,新疆维吾尔自治区,2019,2023,83759,9611.0779,1857.3127,10314.0779,76.0946,745.2935
650000,新疆维吾尔自治区,2018,1486,66750,7779.2,172.0,8477.8,67.4,588.8
650000,新疆维吾尔自治区,2017,1436,71182,6903.6856,1323.7243,7376.0678,63.3274,703.3122
650000,新疆维吾尔自治区,2016,1354,68021,5671.7713,980.1452,5887.2429,51.4737,537.1481
650000,新疆维吾尔自治区,2015,1311,63629,5483.3454,1132.1133,5818.3094,55.5341,419.3835
650000,新疆维吾尔自治区,2014,1219,63036,5990.5807,1105.9312,6265.9009,106.3221,507.0203
650000,新疆维吾尔自治区,2013,944,60479,6697.95713,1966.13886,6935.23837,48.66359,517.20228
650000,新疆维吾尔自治区,2012,862,64254,4602.4,839.0,4793.1,75.1,428.6
650000,新疆维吾尔自治区,2011,769,59848,4418.9,313.7,4491.8,58.5,434.5
650000,新疆维吾尔自治区,2010,713,56722,3277.6,256.5,3417.5,42.0,340.1
650000,新疆维吾尔自治区,2009,672,46064,1801.7,136.5,2511.8,34.8,253.4
650000,新疆维吾尔自治区,2008,845,45913,2345.2,,2518.3,,246.9
650000,新疆维吾尔自治区,2007,517,47959,,,,,
650000,新疆维吾尔自治区,2006,508,46100,,,,,
650000,新疆维吾尔自治区,2005,509,45367,,,,,
650000,新疆维吾尔自治区,2004,616,35402,,,,,
650000,新疆维吾尔自治区,2003,294,34477,,,,,
650000,新疆维吾尔自治区,2002,300,35787,,,,,
650000,新疆维吾尔自治区,2001,294,35459,,,,,
650000,新疆维吾尔自治区,2000,239,43532,,,,,
