省份编码,省份,年份,地震台数总数(个),国家级地震台数(个),省级地震台数(个),市、县级地震台数(个),企业地震台数(个),强震观测点(个),宏观观测点(个)
650000,新疆维吾尔自治区,2019,96,34,4,55,3,162,632
650000,新疆维吾尔自治区,2018,81,16,4,58,3,152,619
650000,新疆维吾尔自治区,2017,81,16,4,58,3,152,619
650000,新疆维吾尔自治区,2016,83,16,4,60,3,152,620
650000,新疆维吾尔自治区,2015,80,16,4,57,3,152,615
650000,新疆维吾尔自治区,2014,75,16,4,52,3,45,611
650000,新疆维吾尔自治区,2013,52,16,4,30,2,170,529
650000,新疆维吾尔自治区,2012,,,,,,,
650000,新疆维吾尔自治区,2011,52,16,4,32,2,170,529
650000,新疆维吾尔自治区,2010,56,16,4,36,1,170,512
650000,新疆维吾尔自治区,2009,53,13,8,32,1,170,344
650000,新疆维吾尔自治区,2008,50,11,10,28,1,171,206
650000,新疆维吾尔自治区,2007,47,6,21,19,1,169,103
650000,新疆维吾尔自治区,2006,52,8,11,31,2,30,59
650000,新疆维吾尔自治区,2005,20,8,12,,,28,81
650000,新疆维吾尔自治区,2004,51,,,,,30,
650000,新疆维吾尔自治区,2003,44,,,,,35,
650000,新疆维吾尔自治区,2002,43,,,,,37,
650000,新疆维吾尔自治区,2001,48,,,,,23,
650000,新疆维吾尔自治区,2000,47,,,,,24,
