省份编码,省份,年份,国内专利申请受理量(项),国内发明专利申请受理量(项),国内实用新型专利申请受理量(项),国内外观设计专利申请受理量(项),国内专利申请授权量(项),国内发明专利申请授权量(项),国内实用新型专利申请授权量(项),国内外观设计专利申请授权量(项)
460000,海南省,2012,1824,865,747,212,1093,396,499,198
460000,海南省,2011,1489,732,504,253,765,272,334,159
460000,海南省,2010,1019,572,312,135,714,190,305,219
460000,海南省,2009,1040,456,359,225,630,84,330,216
460000,海南省,2008,873,331,366,176,341,47,198,96
460000,海南省,2007,632,278,199,155,296,51,143,102
460000,海南省,2006,538,246,158,134,248,39,103,106
460000,海南省,2005,498,176,172,150,200,36,76,88
460000,海南省,2004,375,137,135,103,278,36,93,149
460000,海南省,2003,445,110,147,188,296,28,97,171
460000,海南省,2002,546,141,176,229,199,6,46,147
460000,海南省,2001,390,89,102,199,303,16,70,217
460000,海南省,2000,502,101,123,278,320,15,90,215
500000,重庆市,2019,67271,20103,39566,7602,43872,6988,30648,6236
500000,重庆市,2018,72121,22686,40958,8477,45688,6570,31261,7857
500000,重庆市,2017,64648,19297,37525,7826,34780,6138,23261,5381
500000,重庆市,2016,59518,19981,32099,7438,42738,5044,30428,7266
500000,重庆市,2015,82791,35086,38533,9172,38914,3964,25444,9506
500000,重庆市,2014,55298,19418,25114,10766,24312,2321,15885,6106
500000,重庆市,2013,49036,12562,24865,11609,24828,2360,16623,5845
500000,重庆市,2012,38924,11402,19738,7784,20364,2426,13432,4506
500000,重庆市,2011,32039,8839,16786,6414,15525,1865,8749,4911
500000,重庆市,2010,22825,5150,11985,5690,12080,1143,6704,4233
500000,重庆市,2009,13482,3845,5503,4134,7501,834,3274,3393
500000,重庆市,2008,8324,1997,3237,3090,4820,532,2765,1523
500000,重庆市,2007,6715,1601,2838,2276,4994,354,2500,2140
500000,重庆市,2006,6471,1204,2591,2676,4590,246,1935,2409
500000,重庆市,2005,6260,918,2412,2930,3591,178,1428,1985
500000,重庆市,2004,5171,562,1910,2699,3601,147,1247,2207
500000,重庆市,2003,4589,560,1835,2194,2883,125,1088,1670
500000,重庆市,2002,3142,367,1421,1354,1761,51,743,967
500000,重庆市,2001,2047,262,1108,677,1197,41,676,480
500000,重庆市,2000,1780,231,930,619,1158,56,677,425
510000,四川省,2019,131529,39539,71474,20516,82066,12053,51521,18492
510000,四川省,2018,152987,53805,73167,26015,87372,11697,53121,22554
510000,四川省,2017,167484,64642,73789,29053,64006,11367,33613,19026
510000,四川省,2016,142522,54277,58088,30157,62445,10350,31813,20282
510000,四川省,2015,110746,40437,41859,28450,64953,9105,31420,24428
510000,四川省,2014,91167,29926,32085,29156,47120,5682,24060,17378
510000,四川省,2013,82453,23510,33488,25455,46171,4566,24730,16875
510000,四川省,2012,66312,16368,26732,23212,42218,4460,19665,18093
510000,四川省,2011,49734,11808,19241,18685,28446,3270,12533,12643
510000,四川省,2010,40230,8342,16671,15217,32212,2204,12724,17284
510000,四川省,2009,33047,6260,11943,14844,20132,1596,6561,11975
510000,四川省,2008,24335,4098,6914,13323,13369,1086,5295,6988
510000,四川省,2007,19165,3406,5205,10554,9935,825,4023,5087
510000,四川省,2006,13109,2930,4401,5778,7138,676,2644,3818
510000,四川省,2005,10567,2256,3585,4726,4606,613,1948,2045
510000,四川省,2004,7260,1638,2775,2847,4430,583,1822,2025
510000,四川省,2003,7443,1475,2865,3103,4051,342,1722,1987
510000,四川省,2002,5997,1193,2371,2433,3403,231,1520,1652
510000,四川省,2001,5039,926,2202,1911,3357,258,1496,1603
510000,四川省,2000,4496,759,1954,1783,3218,248,1699,1271
520000,贵州省,2019,44328,10770,28364,5194,24729,1900,19392,3437
520000,贵州省,2018,44508,14992,25577,3939,19456,2081,13980,3395
520000,贵州省,2017,34610,13885,16898,3827,12559,1875,7986,2698
520000,贵州省,2016,25315,10953,11081,3281,10425,2036,6525,1864
520000,贵州省,2015,18295,7538,8317,2440,14115,1501,7007,5607
520000,贵州省,2014,22467,8203,7331,6933,10107,1047,5207,3853
520000,贵州省,2013,17405,3988,6456,6961,7915,776,3916,3223
520000,贵州省,2012,11296,3103,4111,4082,6059,635,3155,2269
520000,贵州省,2011,8351,2358,3170,2823,3386,596,1885,905
520000,贵州省,2010,4414,1322,2441,651,3086,441,1936,709
520000,贵州省,2009,3709,1336,1659,714,2084,322,1234,528
520000,贵州省,2008,2943,873,1403,667,1728,270,1183,275
520000,贵州省,2007,2759,874,1287,598,1727,233,1120,374
520000,贵州省,2006,2674,923,1220,531,1337,188,862,287
520000,贵州省,2005,2226,782,1065,379,925,162,533,230
520000,贵州省,2004,1486,450,765,271,737,179,364,194
520000,贵州省,2003,1242,385,566,291,723,79,355,289
520000,贵州省,2002,1260,354,544,362,615,47,334,234
520000,贵州省,2001,950,178,513,259,642,42,357,243
520000,贵州省,2000,986,173,503,310,710,65,377,268
530000,云南省,2019,35212,8996,22765,3451,22324,2174,17405,2745
530000,云南省,2018,36515,9606,23655,3254,20340,2297,15573,2470
530000,云南省,2017,28695,7801,17867,3027,14230,2259,10085,1886
530000,云南省,2016,23709,7907,13549,2253,12032,2125,8063,1844
530000,云南省,2015,17603,6301,9147,2155,11658,2079,7437,2142
530000,云南省,2014,13343,4732,6508,2103,8124,1423,5438,1263
530000,云南省,2013,11512,3961,5705,1846,6804,1312,4322,1170
530000,云南省,2012,9260,3324,4482,1454,5853,1301,3456,1096
530000,云南省,2011,7150,2796,3175,1179,4199,1006,2217,976
530000,云南省,2010,5645,2333,2212,1100,3823,652,2026,1145
530000,云南省,2009,4633,1637,1825,1171,2923,476,1338,1109
530000,云南省,2008,4089,1474,1389,1226,2021,383,1038,600
530000,云南省,2007,3108,1014,1100,994,2139,368,1017,754
530000,云南省,2006,3085,1005,1076,1004,1637,355,689,593
530000,云南省,2005,2556,776,905,875,1381,306,563,512
530000,云南省,2004,2132,740,793,599,1264,235,586,443
530000,云南省,2003,1966,574,788,604,1213,173,527,513
530000,云南省,2002,1780,448,721,611,1128,83,522,523
530000,云南省,2001,1793,344,807,642,1347,113,662,572
530000,云南省,2000,1710,341,737,632,1217,140,606,471
540000,西藏自治区,2019,2304,456,1296,552,1020,79,625,316
540000,西藏自治区,2018,1469,453,669,347,755,73,384,298
540000,西藏自治区,2017,1097,273,652,172,420,42,257,121
540000,西藏自治区,2016,712,176,410,126,245,33,154,58
540000,西藏自治区,2015,309,128,90,91,198,40,51,107
540000,西藏自治区,2014,248,92,65,91,146,50,47,49
540000,西藏自治区,2013,203,92,57,54,121,44,47,30
540000,西藏自治区,2012,170,81,61,28,133,57,41,35
540000,西藏自治区,2011,263,101,41,121,142,27,20,95
540000,西藏自治区,2010,162,76,33,53,124,16,49,59
540000,西藏自治区,2009,195,71,72,52,292,7,40,245
540000,西藏自治区,2008,350,39,48,263,93,16,37,40
540000,西藏自治区,2007,97,23,23,51,68,4,22,42
540000,西藏自治区,2006,89,21,21,47,81,7,15,59
540000,西藏自治区,2005,102,12,20,70,44,,8,36
540000,西藏自治区,2004,62,20,13,29,23,3,5,15
540000,西藏自治区,2003,24,4,12,8,16,4,5,7
540000,西藏自治区,2002,15,4,5,6,7,1,3,3
540000,西藏自治区,2001,23,8,3,12,22,3,4,15
540000,西藏自治区,2000,28,5,7,16,17,4,4,9
610000,陕西省,2019,92087,34812,40395,16880,44101,9843,26574,7684
610000,陕西省,2018,76512,30888,35241,10383,41479,8884,24205,8390
610000,陕西省,2017,98935,46607,31595,20733,34554,8774,17003,8777
610000,陕西省,2016,69611,22565,27149,19897,48455,7503,17084,23868
610000,陕西省,2015,74904,17322,21449,36133,33350,6812,16151,10387
610000,陕西省,2014,56235,24399,16067,15769,22820,4885,15405,2530
610000,陕西省,2013,57287,26487,26157,4643,20836,4133,13936,2767
610000,陕西省,2012,43608,17043,16392,10173,14908,4018,9158,1732
610000,陕西省,2011,32227,13037,11643,7547,11662,3139,6958,1565
610000,陕西省,2010,22949,8138,7939,6872,10034,1887,6093,2054
610000,陕西省,2009,15570,5858,5798,3914,6087,1342,3446,1299
610000,陕西省,2008,11898,3775,3961,4162,4392,962,2774,656
610000,陕西省,2007,8499,2412,2779,3308,3451,755,2034,662
610000,陕西省,2006,5717,1815,2166,1736,2473,602,1443,428
610000,陕西省,2005,4166,1693,1817,656,1894,445,1131,318
610000,陕西省,2004,3217,1099,1587,531,2007,459,1193,355
610000,陕西省,2003,3421,1191,1737,493,1609,169,1105,335
610000,陕西省,2002,2530,684,1470,376,1524,146,1053,325
610000,陕西省,2001,2326,476,1449,401,1354,132,959,263
610000,陕西省,2000,2080,435,1307,338,1462,188,1022,252
620000,甘肃省,2019,27637,6056,19226,2355,14894,1154,11722,2018
620000,甘肃省,2018,27882,6035,17400,4447,13958,1280,10696,1982
620000,甘肃省,2017,24448,5785,13691,4972,9672,1340,6637,1695
620000,甘肃省,2016,20276,6114,10272,3890,7975,1308,5075,1592
620000,甘肃省,2015,14584,5504,6825,2255,6912,1238,4478,1196
620000,甘肃省,2014,12020,4986,5144,1890,5097,812,3538,747
620000,甘肃省,2013,10976,3735,5453,1788,4737,785,3205,747
620000,甘肃省,2012,8261,3265,3777,1219,3662,704,2344,614
620000,甘肃省,2011,5287,2105,2441,741,2383,552,1536,295
620000,甘肃省,2010,3558,1412,1592,554,1868,349,1131,388
620000,甘肃省,2009,2676,1120,1075,481,1274,227,809,238
620000,甘肃省,2008,2178,952,970,256,1047,211,675,161
620000,甘肃省,2007,1608,600,781,227,1025,180,656,189
620000,甘肃省,2006,1460,550,663,247,832,145,514,173
620000,甘肃省,2005,1759,712,790,257,547,116,338,93
620000,甘肃省,2004,910,334,483,93,514,127,322,65
620000,甘肃省,2003,961,324,536,101,474,83,307,84
620000,甘肃省,2002,781,227,441,113,397,71,251,75
620000,甘肃省,2001,734,256,387,91,512,56,349,107
620000,甘肃省,2000,798,221,412,165,493,82,326,85
630000,青海省,2019,5017,1232,3396,389,3046,292,2452,302
630000,青海省,2018,4439,1287,2885,267,2668,298,2143,227
630000,青海省,2017,3181,949,1946,286,1580,240,1079,261
630000,青海省,2016,3284,1381,1569,334,1357,271,883,203
630000,青海省,2015,2590,1103,1184,303,1217,207,687,323
630000,青海省,2014,1534,660,590,284,619,110,357,152
630000,青海省,2013,1099,520,364,215,502,91,285,126
630000,青海省,2012,844,298,283,263,527,101,218,208
630000,青海省,2011,732,204,233,295,538,70,147,321
630000,青海省,2010,602,193,129,280,264,41,134,89
630000,青海省,2009,499,175,147,177,368,35,89,244
630000,青海省,2008,431,148,120,163,228,23,100,105
630000,青海省,2007,387,91,115,181,222,28,84,110
630000,青海省,2006,325,79,98,148,97,30,45,22
630000,青海省,2005,216,103,83,30,79,24,34,21
630000,青海省,2004,124,49,44,31,70,21,30,19
630000,青海省,2003,173,70,60,43,90,17,35,38
630000,青海省,2002,151,40,56,55,85,14,48,23
630000,青海省,2001,162,44,75,43,101,15,58,28
630000,青海省,2000,174,36,90,48,117,16,67,34
640000,宁夏回族自治区,2019,9275,2525,6249,501,5555,598,4644,313
640000,宁夏回族自治区,2018,9860,2999,6403,458,5658,744,4489,425
640000,宁夏回族自治区,2017,8575,2561,5633,381,4244,657,3345,242
640000,宁夏回族自治区,2016,6149,2510,3329,310,2677,560,1947,170
640000,宁夏回族自治区,2015,4394,2626,1591,177,1865,442,1267,156
640000,宁夏回族自治区,2014,3532,2183,1195,154,1424,243,1048,133
640000,宁夏回族自治区,2013,3230,1792,1187,251,1211,184,899,128
640000,宁夏回族自治区,2012,1985,846,910,229,844,140,547,157
640000,宁夏回族自治区,2011,1079,442,527,110,613,103,418,92
640000,宁夏回族自治区,2010,739,268,397,74,1081,61,307,713
640000,宁夏回族自治区,2009,1277,182,284,811,910,52,267,591
640000,宁夏回族自治区,2008,1087,160,329,598,606,48,266,292
640000,宁夏回族自治区,2007,838,112,270,456,296,32,200,64
640000,宁夏回族自治区,2006,671,172,245,254,290,64,142,84
640000,宁夏回族自治区,2005,516,106,185,225,214,40,130,44
640000,宁夏回族自治区,2004,399,89,184,126,293,46,119,128
640000,宁夏回族自治区,2003,441,101,200,140,338,54,160,124
640000,宁夏回族自治区,2002,503,105,226,172,216,22,114,80
640000,宁夏回族自治区,2001,412,98,175,139,231,15,133,83
640000,宁夏回族自治区,2000,341,112,154,75,224,21,166,37
650000,新疆维吾尔自治区,2019,14771,3544,9936,1291,8652,856,6792,1004
650000,新疆维吾尔自治区,2018,14647,3665,9473,1509,9658,923,7375,1360
650000,新疆维吾尔自治区,2017,14260,3207,8927,2126,8094,950,5630,1514
650000,新疆维吾尔自治区,2016,14105,3598,7999,2508,7116,910,4828,1378
650000,新疆维吾尔自治区,2015,12250,3024,6354,2872,8761,950,5049,2762
650000,新疆维吾尔自治区,2014,10210,2360,4935,2915,5238,605,3850,783
650000,新疆维吾尔自治区,2013,8224,2081,4620,1523,4998,540,3244,1214
650000,新疆维吾尔自治区,2012,7044,1679,3375,1990,3439,456,2382,601
650000,新疆维吾尔自治区,2011,4736,1273,2732,731,2642,302,1974,366
650000,新疆维吾尔自治区,2010,3560,914,2272,374,2562,189,2012,361
650000,新疆维吾尔自治区,2009,2872,662,1865,345,1866,120,1260,486
650000,新疆维吾尔自治区,2008,2412,482,1408,522,1493,82,1100,311
650000,新疆维吾尔自治区,2007,2270,476,1255,539,1534,90,1035,409
650000,新疆维吾尔自治区,2006,2256,381,1166,709,1187,107,805,275
650000,新疆维吾尔自治区,2005,1851,320,1117,414,921,88,537,296
650000,新疆维吾尔自治区,2004,1492,272,870,350,792,75,530,187
650000,新疆维吾尔自治区,2003,1473,254,938,281,752,75,521,156
650000,新疆维吾尔自治区,2002,1239,216,779,244,627,61,407,159
650000,新疆维吾尔自治区,2001,1086,189,683,214,755,90,522,143
650000,新疆维吾尔自治区,2000,1088,179,699,210,717,66,475,176
