省份编码,省份,年份,交通事故发生数总计(起),交通事故死亡人数总计(人),交通事故受伤人数总计(人),交通事故直接财产损失总计(万元)
640000,宁夏回族自治区,2018,1735,408,1735,680.8
640000,宁夏回族自治区,2017,1569,376,1677,928.7
640000,宁夏回族自治区,2016,1606,372,1778,754.9
640000,宁夏回族自治区,2015,1692,395,1963,803.6
640000,宁夏回族自治区,2014,1752,393,2026,856
640000,宁夏回族自治区,2013,1794,400,2179,799.5
640000,宁夏回族自治区,2012,1767,404,2122,707.2
640000,宁夏回族自治区,2011,1829,428,2404,763.6
640000,宁夏回族自治区,2010,1806,442,2564,658
640000,宁夏回族自治区,2009,1856,457,2192,534.2
640000,宁夏回族自治区,2008,2172,525,2369,818.5
640000,宁夏回族自治区,2007,2570,575,2805,768.9
640000,宁夏回族自治区,2006,2985,666,3434,748
640000,宁夏回族自治区,2005,3803,796,3922,1055.8
640000,宁夏回族自治区,2004,4216,864,3802,1312
640000,宁夏回族自治区,2003,5249,889,4237,1426.1
640000,宁夏回族自治区,2002,11525,986,7583,1748.4
640000,宁夏回族自治区,2001,,971,7366,1860
640000,宁夏回族自治区,2000,,,,
650000,新疆维吾尔自治区,2019,5173,1565,5211,936.7
650000,新疆维吾尔自治区,2018,6181,1464,6601,1237.5
650000,新疆维吾尔自治区,2017,5017,1660,5522,1176.7
650000,新疆维吾尔自治区,2016,5049,1594,5988,1190.5
650000,新疆维吾尔自治区,2015,4992,1881,5747,1263.4
650000,新疆维吾尔自治区,2014,5010,1896,5765,1228.3
650000,新疆维吾尔自治区,2013,4944,1929,5647,1319.3
650000,新疆维吾尔自治区,2012,4943,1943,5463,1242.6
650000,新疆维吾尔自治区,2011,5182,1993,5895,1031
650000,新疆维吾尔自治区,2010,5298,2023,6028,903.3
650000,新疆维吾尔自治区,2009,5120,2080,5787,996.2
650000,新疆维吾尔自治区,2008,5684,2314,6300,1129.7
650000,新疆维吾尔自治区,2007,6735,2413,7692,1252
650000,新疆维吾尔自治区,2006,7428,2608,8848,1662.8
650000,新疆维吾尔自治区,2005,9526,3110,10436,2834.5
650000,新疆维吾尔自治区,2004,8364,2881,8902,2964.8
650000,新疆维吾尔自治区,2003,10269,2645,10044,3741.6
650000,新疆维吾尔自治区,2002,10095,2563,9199,3779.5
650000,新疆维吾尔自治区,2001,,2539,9295,4366.4
650000,新疆维吾尔自治区,2000,,,,
