省份编码,省份,年份,房地产开发企业平均从业人数(人),内资房地产开发企业平均从业人数(人),国有房地产开发企业平均从业人数(人),集体房地产开发企业平均从业人数(人),港、澳、台投资房地产开发企业平均从业人数(人),外商投资房地产开发企业平均从业人数(人)
420000,湖北省,2008,92641,87937,10828,1134,2701,2003
420000,湖北省,2007,71750,65750,8419,1339,3418,2582
420000,湖北省,2006,72627,66763,8621,1565,3908,1956
420000,湖北省,2005,67225,61693,9080,1752,3411,2121
420000,湖北省,2004,68970,62802,10058,2313,3935,2233
420000,湖北省,2003,59504,54597,10497,2865,3283,1624
420000,湖北省,2002,48953,43809,12827,2858,2850,2294
420000,湖北省,2001,44435,40331,15466,4779,2782,1322
420000,湖北省,2000,46142,41523,20146,3591,3168,1451
430000,湖南省,2019,148622,144473,1343,45,2746,1403
430000,湖南省,2018,136851,132962,1506,45,2563,1326
430000,湖南省,2017,128476,124778,1781,50,2647,1051
430000,湖南省,2016,120590,116915,2112,53,2602,1073
430000,湖南省,2015,116069,112506,2364,85,2412,1151
430000,湖南省,2014,114031,110189,2348,120,2605,1237
430000,湖南省,2013,108041,103874,2558,232,2717,1450
430000,湖南省,2012,97175,93469,4152,1380,2573,1133
430000,湖南省,2011,90176,86326,4625,1134,2518,1332
430000,湖南省,2010,82356,78237,4317,701,2587,1532
430000,湖南省,2009,79816,75203,4225,1182,2649,1964
430000,湖南省,2008,91050,85563,6127,910,3120,2367
430000,湖南省,2007,68368,63505,4844,950,2567,2296
430000,湖南省,2006,68453,64565,5231,1368,2458,1430
430000,湖南省,2005,66678,62781,5682,1454,2635,1262
430000,湖南省,2004,75573,69376,6790,5235,4983,1214
430000,湖南省,2003,41700,38417,7499,1651,2141,1142
430000,湖南省,2002,38287,34721,8293,1534,2636,930
430000,湖南省,2001,26936,24531,7742,2077,1746,659
430000,湖南省,2000,23044,21021,8344,1914,1438,585
440000,广东省,2019,271392,239628,1520,2029,21816,9948
440000,广东省,2018,264709,236339,1582,2066,18828,9542
440000,广东省,2017,252099,219154,1570,2721,20758,12187
440000,广东省,2016,233716,199002,2386,2969,21383,13331
440000,广东省,2015,228918,193070,3480,3560,22249,13599
440000,广东省,2014,224619,186424,3299,3876,23577,14618
440000,广东省,2013,211205,173599,3672,3919,22665,14941
440000,广东省,2012,196656,159261,10810,5040,22181,15214
440000,广东省,2011,201153,164660,26254,5247,22633,13860
440000,广东省,2010,189590,156060,8792,6657,19808,13722
440000,广东省,2009,185500,150804,8072,8368,20591,14105
440000,广东省,2008,191110,150688,9348,8805,20985,19437
440000,广东省,2007,177138,140961,8880,11909,20397,15780
440000,广东省,2006,158526,130063,11893,10698,19475,8988
440000,广东省,2005,149622,124802,15253,11494,18953,5867
440000,广东省,2004,147856,123661,13436,12532,17197,6998
440000,广东省,2003,126518,105841,13913,19693,17379,3298
440000,广东省,2002,121482,102179,17250,22388,16963,2340
440000,广东省,2001,121782,101380,22228,27573,17788,2614
440000,广东省,2000,127812,109910,29575,27419,16335,1567
450000,广西壮族自治区,2019,94896,90794,893,83,2394,1708
450000,广西壮族自治区,2018,88974,84941,1030,86,2751,1282
450000,广西壮族自治区,2017,84312,79687,1126,102,3431,1194
450000,广西壮族自治区,2016,80703,75506,1163,168,3948,1249
450000,广西壮族自治区,2015,77776,73081,1761,181,3554,1141
450000,广西壮族自治区,2014,75901,71421,1992,240,2959,1521
450000,广西壮族自治区,2013,72327,68180,2361,303,2395,1752
450000,广西壮族自治区,2012,70167,66202,2969,414,2332,1633
450000,广西壮族自治区,2011,65848,62500,3149,442,1841,1507
450000,广西壮族自治区,2010,56785,53471,2949,427,1788,1526
450000,广西壮族自治区,2009,53146,49578,2646,355,1943,1625
450000,广西壮族自治区,2008,55779,51506,3668,635,2230,2043
450000,广西壮族自治区,2007,45614,41680,3749,518,2536,1398
450000,广西壮族自治区,2006,40513,36601,3673,551,2435,1477
450000,广西壮族自治区,2005,35579,32046,4054,675,1998,1535
450000,广西壮族自治区,2004,39407,34986,5000,697,2838,1583
450000,广西壮族自治区,2003,22750,19372,4209,1040,2009,1369
450000,广西壮族自治区,2002,17219,14522,4502,1261,2176,521
450000,广西壮族自治区,2001,14661,12305,4527,1409,1761,595
450000,广西壮族自治区,2000,14063,11521,4936,1346,1974,568
460000,海南省,2019,39428,35506,533,85,2050,1872
460000,海南省,2018,47396,42633,687,79,2541,2222
460000,海南省,2017,49749,44231,1186,28,3073,2445
460000,海南省,2016,46996,41231,1281,27,3627,2138
460000,海南省,2015,43268,38806,1460,30,3727,735
460000,海南省,2014,43653,38944,1365,,3669,1040
460000,海南省,2013,37044,32242,1481,0,3744,1058
460000,海南省,2012,32178,26305,2271,4,4686,1187
460000,海南省,2011,24499,21470,1408,4,2480,549
460000,海南省,2010,17745,15228,1407,70,2002,515
460000,海南省,2009,14773,12733,627,43,1554,486
460000,海南省,2008,21790,18191,1464,163,3095,504
460000,海南省,2007,11123,8852,283,54,1588,683
460000,海南省,2006,9342,7221,232,88,1527,594
460000,海南省,2005,9021,7760,431,63,623,638
460000,海南省,2004,15009,11761,1915,297,2207,1041
460000,海南省,2003,5560,4238,1378,96,468,854
460000,海南省,2002,5101,4181,911,307,421,499
460000,海南省,2001,4176,2749,646,163,1177,250
460000,海南省,2000,3013,2233,615,166,574,206
500000,重庆市,2019,99834,94613,282,,3756,1465
500000,重庆市,2018,100766,94594,382,,4763,1409
500000,重庆市,2017,104044,96903,346,,5699,1442
500000,重庆市,2016,99265,92145,701,26,5501,1619
500000,重庆市,2015,96420,89434,1453,26,5348,1638
500000,重庆市,2014,99612,92729,1532,26,4816,2067
500000,重庆市,2013,91351,85102,1778,48,4010,2239
500000,重庆市,2012,86938,81754,5050,106,3588,1596
500000,重庆市,2011,90260,84361,4899,88,3298,2601
500000,重庆市,2010,91757,87142,14404,153,3265,1350
500000,重庆市,2009,80979,77156,8214,130,2764,1059
500000,重庆市,2008,85998,80988,3640,368,3431,1579
500000,重庆市,2007,81710,77216,2410,457,3569,925
500000,重庆市,2006,70498,66229,2565,504,3148,1121
500000,重庆市,2005,70563,65590,3811,619,3728,1245
500000,重庆市,2004,70708,64903,3648,859,4168,1637
500000,重庆市,2003,54148,49072,2903,964,4075,1001
500000,重庆市,2002,76582,70771,5737,6339,4497,1314
500000,重庆市,2001,77779,71481,11458,8218,4587,1711
500000,重庆市,2000,63764,57004,7555,7478,5152,1608
510000,四川省,2019,161739,156806,523,182,2885,2048
510000,四川省,2018,155136,149632,752,170,3483,2021
510000,四川省,2017,144020,137703,949,138,4142,2175
510000,四川省,2016,138485,131751,1133,109,4233,2501
510000,四川省,2015,140016,131885,1494,272,4852,3279
510000,四川省,2014,136877,129893,2001,273,3668,3316
510000,四川省,2013,129495,123773,2273,158,2937,2785
510000,四川省,2012,118215,112103,4767,334,2853,3259
510000,四川省,2011,78271,74971,3738,269,1593,1707
510000,四川省,2010,143711,137736,31952,402,3441,2534
510000,四川省,2009,105570,100386,6508,549,2857,2327
510000,四川省,2008,110205,103875,6916,658,3249,3081
510000,四川省,2007,98514,94733,5105,902,1831,1950
510000,四川省,2006,90412,87208,3719,1105,1809,1395
510000,四川省,2005,86230,82699,4166,1168,1400,2131
510000,四川省,2004,87813,84659,5150,2440,1438,1716
510000,四川省,2003,103331,101044,7608,6731,1533,754
510000,四川省,2002,98319,95859,11682,9143,1778,682
510000,四川省,2001,85871,83253,11761,9692,1871,747
510000,四川省,2000,65451,62834,13425,9376,1705,912
520000,贵州省,2019,110785,109675,337,,966,144
520000,贵州省,2018,97994,96719,366,7,1063,212
520000,贵州省,2017,92582,91062,556,7,1247,273
520000,贵州省,2016,82812,81326,625,11,1217,269
520000,贵州省,2015,76812,75444,779,47,1099,269
520000,贵州省,2014,71425,70071,827,14,1140,214
520000,贵州省,2013,57437,56174,785,21,1110,153
520000,贵州省,2012,47042,45900,1860,49,989,153
520000,贵州省,2011,40448,39346,1663,40,873,229
520000,贵州省,2010,36721,35770,1858,110,656,295
520000,贵州省,2009,35390,34440,1798,214,543,407
520000,贵州省,2008,38894,37956,1956,270,569,369
520000,贵州省,2007,34607,33711,1894,326,548,348
520000,贵州省,2006,31748,30730,2438,455,688,330
520000,贵州省,2005,32658,31481,2479,503,860,317
520000,贵州省,2004,32966,31720,2803,725,813,433
520000,贵州省,2003,30160,28861,3127,1296,939,360
520000,贵州省,2002,25179,23822,3109,1838,1060,297
520000,贵州省,2001,19025,18074,2932,1262,511,440
520000,贵州省,2000,14042,12917,2548,1488,520,605
530000,云南省,2019,104854,102682,1021,57,1624,548
530000,云南省,2018,96796,93513,1090,75,2722,561
530000,云南省,2017,86747,84336,930,68,1977,434
530000,云南省,2016,80120,77889,855,48,1745,486
530000,云南省,2015,79293,75978,1070,55,2530,785
530000,云南省,2014,81028,78394,1071,51,2431,203
530000,云南省,2013,73235,71121,1061,59,1877,237
530000,云南省,2012,63478,61609,2317,182,1532,337
530000,云南省,2011,73765,71880,1678,137,1720,165
530000,云南省,2010,46013,43744,1811,230,2138,131
530000,云南省,2009,42288,38437,1572,278,3617,234
530000,云南省,2008,47258,45524,1805,257,1521,213
530000,云南省,2007,40592,37365,1581,132,3045,182
530000,云南省,2006,33357,31735,2056,1017,1402,220
530000,云南省,2005,30256,29149,1236,158,876,231
530000,云南省,2004,22576,21324,1673,254,956,296
530000,云南省,2003,14659,13274,3283,150,395,990
530000,云南省,2002,12816,12363,3170,162,353,100
530000,云南省,2001,10447,9839,4187,326,441,167
530000,云南省,2000,11850,11207,4048,257,489,154
