省份编码,省份,年份,商品房销售面积(万平方米),住宅商品房销售面积(万平方米),别墅、高档公寓销售面积(万平方米),办公楼商品房销售面积(万平方米),商业营业用房销售面积(万平方米),其他商品房销售面积(万平方米)
340000,安徽省,2006,2307.8346,2037.5447,46.1222,33.1821,220.384,16.7238
340000,安徽省,2005,1907.2055,1686.0304,36.2256,23.6332,180.2147,17.3272
340000,安徽省,2004,1429.2383,1179.6622,,36.0977,202.8165,10.6619
340000,安徽省,2003,1093.2684,906.3492,28.6359,22.8282,148.473,15.618
340000,安徽省,2002,794.82,681.9,24.29,16.76,82.41,13.73
340000,安徽省,2001,679.5776,587.3995,6.5169,14.705,72.9005,4.5726
340000,安徽省,2000,535.8632,462.9077,6.1649,12.8214,58.4135,1.7206
350000,福建省,2019,6456.1297,5073.7318,126.0254,331.1708,425.9278,625.2993
350000,福建省,2018,6213.4032,4781.5818,182.3708,304.5872,457.8308,669.4034
350000,福建省,2017,5854.0463,4526.129,146.136,354.2511,412.2583,561.4079
350000,福建省,2016,4915.3468,4134.4556,104.4481,181.159,305.4678,294.2644
350000,福建省,2015,4037.7616,3315.686,91.5088,155.4211,296.2516,270.4029
350000,福建省,2014,4119.4778,3324.0982,92.5479,181.0069,286.9365,327.4362
350000,福建省,2013,4676.16,3957.4584,98.7525,211.4202,242.5288,264.7526
350000,福建省,2012,3258.9398,2741.9567,84.5794,150.8294,209.8796,156.2741
350000,福建省,2011,2706.7244,2213.3025,78.4575,109.1676,183.8556,200.3987
350000,福建省,2010,2575.62,2139.26,83.01,82.2,176.35,177.81
350000,福建省,2009,2723.23,2420.83,116.99,32.94,121.26,148.2
350000,福建省,2008,1625.67,1250.0,62.18,66.52,94.32,214.83
350000,福建省,2007,2421.9482,2096.3689,149.2134,80.1911,155.3838,90.0044
350000,福建省,2006,2021.6944,1743.3904,113.1336,41.0257,141.9529,95.3254
350000,福建省,2005,1913.8354,1720.555,37.1762,21.046,120.7617,51.4727
350000,福建省,2004,1384.829,1224.6093,,21.8761,100.391,37.9526
350000,福建省,2003,1250.1032,1083.7936,66.3697,34.6375,104.8611,26.811
350000,福建省,2002,1047.05,882.92,29.91,31.19,114.41,18.54
350000,福建省,2001,987.8073,842.9952,42.5405,33.3067,89.6612,21.8442
350000,福建省,2000,810.6549,675.7279,45.5698,41.738,77.8868,15.3022
360000,江西省,2019,6458.8593,5678.9785,130.0693,105.1712,541.6536,133.056
360000,江西省,2018,6200.709,5389.0031,134.6349,119.1754,564.8057,127.7248
360000,江西省,2017,5841.9302,4964.9702,108.0812,140.692,573.6656,162.6024
360000,江西省,2016,4691.8399,4140.5481,81.9976,87.5324,361.2888,102.4706
360000,江西省,2015,3478.2264,3145.8323,42.7795,50.6063,220.4318,61.356
360000,江西省,2014,3067.1606,2775.2168,44.8937,42.7533,196.087,53.1035
360000,江西省,2013,3167.0588,2846.0366,73.0396,56.4647,214.0261,50.5314
360000,江西省,2012,2397.1035,2125.8981,32.062,47.5595,189.4565,34.1894
360000,江西省,2011,2416.853,2156.7717,55.0795,21.2779,192.2428,46.5606
360000,江西省,2010,2469.73,2265.72,29.5,19.02,150.85,34.15
360000,江西省,2009,2280.91,2108.07,47.59,9.21,120.7,42.93
360000,江西省,2008,1727.6,1604.86,28.44,4.97,95.25,22.52
360000,江西省,2007,2175.589,2037.8732,74.9476,4.4337,113.0233,20.2588
360000,江西省,2006,1777.186,1635.2608,28.3291,2.4226,123.9133,15.5893
360000,江西省,2005,1650.1188,1454.512,24.9768,8.7513,175.0224,11.8331
360000,江西省,2004,1168.8704,986.9235,,8.8232,153.8083,19.3154
