省份编码,省份,年份,房地产开发企业个数(个),内资房地产开发企业个数(个),国有房地产开发企业个数(个),集体房地产开发企业个数(个),港、澳、台投资房地产开发企业个数(个),外商投资房地产开发企业个数(个)
630000,青海省,2016,353,352,,,,1
630000,青海省,2015,330,329,3,,,1
630000,青海省,2014,325,322,3,,2,1
630000,青海省,2013,308,305,3,,2,1
630000,青海省,2012,291,288,10,,2,1
630000,青海省,2011,400,393,11,1,4,3
630000,青海省,2010,395,382,14,1,10,3
630000,青海省,2009,383,369,14,1,10,4
630000,青海省,2008,370,356,13,1,10,4
630000,青海省,2007,299,285,11,5,11,3
630000,青海省,2006,288,273,11,6,12,3
630000,青海省,2005,251,237,11,5,11,3
630000,青海省,2004,291,271,7,7,16,4
630000,青海省,2003,170,162,13,3,4,4
630000,青海省,2002,274,263,22,6,5,6
630000,青海省,2001,216,209,23,6,4,3
630000,青海省,2000,177,170,18,7,4,3
640000,宁夏回族自治区,2019,556,550,,,2,4
640000,宁夏回族自治区,2018,538,533,,,2,3
640000,宁夏回族自治区,2017,561,556,1,,3,2
640000,宁夏回族自治区,2016,563,558,1,,3,2
640000,宁夏回族自治区,2015,539,535,1,,2,2
640000,宁夏回族自治区,2014,534,530,1,,1,3
640000,宁夏回族自治区,2013,501,497,1,3,1,3
640000,宁夏回族自治区,2012,480,476,3,4,1,3
640000,宁夏回族自治区,2011,436,432,3,3,1,3
640000,宁夏回族自治区,2010,360,357,1,2,,3
640000,宁夏回族自治区,2009,321,319,3,2,,2
640000,宁夏回族自治区,2008,341,337,3,3,,4
640000,宁夏回族自治区,2007,338,334,5,1,,4
640000,宁夏回族自治区,2006,314,310,7,2,0,4
640000,宁夏回族自治区,2005,304,301,7,2,,3
640000,宁夏回族自治区,2004,318,315,9,3,1,2
640000,宁夏回族自治区,2003,217,213,3,10,2,2
640000,宁夏回族自治区,2002,176,172,15,10,2,2
640000,宁夏回族自治区,2001,151,144,27,12,3,4
640000,宁夏回族自治区,2000,139,132,25,13,4,3
650000,新疆维吾尔自治区,2019,2010,2008,3,1,2,
650000,新疆维吾尔自治区,2018,1865,1863,6,1,2,
650000,新疆维吾尔自治区,2017,1935,1930,8,1,5,
650000,新疆维吾尔自治区,2016,1927,1922,9,1,4,1
650000,新疆维吾尔自治区,2015,1855,1850,13,1,4,1
650000,新疆维吾尔自治区,2014,1808,1803,12,1,4,1
650000,新疆维吾尔自治区,2013,1634,1628,13,1,4,2
650000,新疆维吾尔自治区,2012,1509,1502,28,1,4,3
650000,新疆维吾尔自治区,2011,1421,1415,24,1,4,2
650000,新疆维吾尔自治区,2010,1233,1227,24,1,4,2
650000,新疆维吾尔自治区,2009,1159,1151,29,1,5,3
650000,新疆维吾尔自治区,2008,1130,1122,32,1,5,3
650000,新疆维吾尔自治区,2007,909,897,26,4,6,6
650000,新疆维吾尔自治区,2006,824,813,29,5,6,5
650000,新疆维吾尔自治区,2005,756,744,26,5,7,5
650000,新疆维吾尔自治区,2004,709,698,32,7,6,5
650000,新疆维吾尔自治区,2003,492,480,33,6,8,4
650000,新疆维吾尔自治区,2002,335,326,31,5,6,3
650000,新疆维吾尔自治区,2001,293,284,41,11,7,2
650000,新疆维吾尔自治区,2000,209,195,50,11,11,3
