省份编码,省份,年份,建筑业企业单位数(个),内资建筑业企业单位数(个),国有建筑业企业单位数(个),集体建筑业企业单位数(个),港澳台商投资建筑业企业单位数(个),港澳台商独资建筑业企业单位数(个),外商投资建筑业企业单位数(个),外商独资建筑业企业单位数(个)
540000,西藏自治区,2018,280,280,13,3,,,,
540000,西藏自治区,2017,231,231,16,8,,,,
540000,西藏自治区,2016,173,173,16,8,,,,
540000,西藏自治区,2015,167,167,15,9,,,,
540000,西藏自治区,2014,172,172,15,12,,,,
540000,西藏自治区,2013,164,164,21,19,,,,
540000,西藏自治区,2012,175,175,25,21,,,,
540000,西藏自治区,2011,199,199,28,26,,,,
540000,西藏自治区,2010,175,175,24,20,,,,
540000,西藏自治区,2009,165,165,23,22,,,,
540000,西藏自治区,2008,171,171,24,29,,,,
540000,西藏自治区,2007,128,128,22,26,,,,
540000,西藏自治区,2006,126,153,24,46,,,,
540000,西藏自治区,2005,168,168,29,55,,,,
540000,西藏自治区,2004,142,,19,32,,,,
540000,西藏自治区,2003,162,161,37,69,1,1,,
540000,西藏自治区,2002,156,156,32,86,,,,
540000,西藏自治区,2001,123,123,38,69,,,,
540000,西藏自治区,2000,141,141,39,87,,,,
610000,陕西省,2019,3067,3059,134,112,2,1,6,4
610000,陕西省,2018,2661,2655,95,98,2,2,4,2
610000,陕西省,2017,2388,2385,133,123,2,,1,
610000,陕西省,2016,2114,2110,141,125,1,,3,1
610000,陕西省,2015,1878,1874,130,123,1,,3,1
610000,陕西省,2014,1656,1653,126,130,1,,2,1
610000,陕西省,2013,1397,1394,152,146,1,,2,1
610000,陕西省,2012,1249,1245,145,145,2,,2,1
610000,陕西省,2011,1049,1047,131,143,2,,,
610000,陕西省,2010,982,981,134,153,1,,,
610000,陕西省,2009,985,984,128,160,1,,,
610000,陕西省,2008,964,962,135,172,1,,1,1
610000,陕西省,2007,872,871,125,193,,,1,
610000,陕西省,2006,867,815,134,195,,,,
610000,陕西省,2005,784,784,128,195,,,,
610000,陕西省,2004,738,,,,,,,
610000,陕西省,2003,753,753,147,252,,,,
610000,陕西省,2002,863,858,158,334,3,,2,
610000,陕西省,2001,813,811,152,420,2,,,
610000,陕西省,2000,848,844,161,490,4,,,
620000,甘肃省,2019,1654,1653,76,63,,,1,
620000,甘肃省,2018,1434,1433,68,57,1,,,
620000,甘肃省,2017,1363,1360,79,77,2,,1,
620000,甘肃省,2016,1323,1322,80,82,,,1,
620000,甘肃省,2015,1264,1262,83,83,1,,1,
620000,甘肃省,2014,1281,1277,83,90,3,,1,
620000,甘肃省,2013,1225,1222,104,109,2,,1,
620000,甘肃省,2012,1108,1107,100,106,1,,,
620000,甘肃省,2011,793,791,82,99,1,,1,
620000,甘肃省,2010,757,756,92,92,1,,,
620000,甘肃省,2009,837,835,100,117,1,,1,
620000,甘肃省,2008,860,857,113,127,2,,1,
620000,甘肃省,2007,781,779,112,151,1,,1,
620000,甘肃省,2006,770,806,126,159,,,1,
620000,甘肃省,2005,776,775,133,154,,,1,
620000,甘肃省,2004,838,833,132,190,,,,
620000,甘肃省,2003,786,784,153,201,1,,1,
620000,甘肃省,2002,637,630,123,243,4,2,3,1
620000,甘肃省,2001,498,493,95,258,4,3,1,
620000,甘肃省,2000,504,500,100,283,3,2,1,
630000,青海省,2019,389,388,25,18,,,1,
630000,青海省,2018,382,381,29,19,,,1,
630000,青海省,2017,364,363,39,23,,,1,
630000,青海省,2016,371,370,40,24,,,1,
630000,青海省,2015,366,365,41,24,,,1,
630000,青海省,2014,391,390,44,26,,,1,
630000,青海省,2013,381,380,52,34,,,1,
630000,青海省,2012,367,365,50,34,1,1,1,
630000,青海省,2011,380,378,55,34,1,1,1,
630000,青海省,2010,369,368,57,33,,,1,
630000,青海省,2009,383,381,59,37,1,1,1,
630000,青海省,2008,411,409,61,37,1,1,1,1
630000,青海省,2007,368,366,62,44,1,1,1,1
630000,青海省,2006,365,359,62,44,2,1,1,1
630000,青海省,2005,372,369,66,43,2,1,1,1
630000,青海省,2004,399,396,74,43,,,,
630000,青海省,2003,337,335,76,66,2,1,,
630000,青海省,2002,312,311,73,67,1,,,
630000,青海省,2001,254,252,70,74,2,1,,
630000,青海省,2000,270,268,99,90,2,1,,
640000,宁夏回族自治区,2019,662,661,47,8,,,1,
640000,宁夏回族自治区,2018,691,691,38,6,,,,
640000,宁夏回族自治区,2017,681,680,55,10,,,1,
640000,宁夏回族自治区,2016,531,530,57,10,,,1,
640000,宁夏回族自治区,2015,503,502,58,10,,,1,
640000,宁夏回族自治区,2014,524,522,58,11,1,,1,
640000,宁夏回族自治区,2013,514,511,61,12,1,,2,
640000,宁夏回族自治区,2012,508,505,62,12,1,,2,
640000,宁夏回族自治区,2011,500,497,60,13,,,3,1
640000,宁夏回族自治区,2010,474,471,64,12,1,1,2,
640000,宁夏回族自治区,2009,474,473,61,15,1,1,,
640000,宁夏回族自治区,2008,483,482,65,19,1,1,,
640000,宁夏回族自治区,2007,470,468,66,20,2,1,,
640000,宁夏回族自治区,2006,463,470,68,21,2,1,,
640000,宁夏回族自治区,2005,473,472,76,28,1,1,,
640000,宁夏回族自治区,2004,518,,78,,,,,
640000,宁夏回族自治区,2003,431,429,84,47,2,,,
640000,宁夏回族自治区,2002,434,431,104,53,2,,1,
640000,宁夏回族自治区,2001,478,476,134,105,1,,1,
640000,宁夏回族自治区,2000,508,505,161,140,2,1,1,
650000,新疆维吾尔自治区,2019,1320,1319,57,8,1,,,
650000,新疆维吾尔自治区,2018,1183,1182,45,7,1,,,
650000,新疆维吾尔自治区,2017,1157,1155,68,14,1,,1,
650000,新疆维吾尔自治区,2016,1144,1142,73,14,1,,1,
650000,新疆维吾尔自治区,2015,1114,1112,74,15,1,,1,
650000,新疆维吾尔自治区,2014,1009,1007,74,16,1,,1,
650000,新疆维吾尔自治区,2013,972,970,88,18,1,,1,
650000,新疆维吾尔自治区,2012,887,885,87,18,1,,1,
650000,新疆维吾尔自治区,2011,818,816,86,19,1,,1,
650000,新疆维吾尔自治区,2010,806,804,76,22,1,,1,
650000,新疆维吾尔自治区,2009,799,797,83,22,1,,1,
650000,新疆维吾尔自治区,2008,823,821,94,26,2,,,
650000,新疆维吾尔自治区,2007,764,759,93,28,5,,,
650000,新疆维吾尔自治区,2006,701,736,92,31,4,,,
650000,新疆维吾尔自治区,2005,735,731,98,37,4,,,
650000,新疆维吾尔自治区,2004,932,,,,,,,
650000,新疆维吾尔自治区,2003,700,697,120,62,3,,,
650000,新疆维吾尔自治区,2002,680,675,151,95,5,,,
650000,新疆维吾尔自治区,2001,594,591,190,152,3,,,
650000,新疆维吾尔自治区,2000,689,682,240,292,7,1,,
